詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
paketing,to stake out an animal tying it up,栓住，把動物繫住,,,,paseteng
paki'ayaw,to put ahead of,承讓，讓先,,,,
pakido,to do something in a way that is contrary to rules or guidelines,做某種與規則或指導原則相反的事情,pakido a somowal,to speak discourteously * without thought of courtesy,說不禮貌的話,patedo
,to exaggerate * misrepresent,誇張，詐稱,,,,kido
pakifongoh,to put on one's head to carry,把東西用頭頂搬運,,,,
,to put in one's head / memorize,存放於腦筋裡 - 記憶,,,,fongoh
pakih,ankle * ankles,踝骨，腳踝,,,,
pakikapal,to place in hand,放於手掌上,,,,kapal
pakilac,to portion out,分發,,,,kilac
pakimad,to tell a story,說書，講古,,,,plo
,to preach,說教，講道,,,,
pakimahod,to cook in wooden rice cooker,蒸米,,,,mahod
pakinali,to go too far * exaggerate * to overdo,超過，過份，誇大,nali ko sowal nira.,He exaggerated.,他講的很過分，說話非常誇張,ntek
pakingking,to give an offering,奉獻,,,,kingking
,to make a phone call,打電話,,,,
pakipat,to apply glue to * stick closed,使之黏住,,,,kipat
pakitiraen,place there temporarily,暫時擱置在那兒,,,,itira
pakiyaw,to gamble * using cards or other means (from Amoy dialect),賭博，用撲克牌或其他 (引自閩南語),,,,
pakokot,to accuse * to make a charge against * with reference to actions,控訴，控告，打小報告，誹謗，說壞話,O papakokoten ko demak noya tamdaw.,An accusation must be made against the acts of that person.,那個人的行為勢必應該被控告,
,,,Aka pacefa a pakokot to demak no singsi.,Don't accuse without clear evidence the acts of a teacher.,沒有證據不要隨便告發老師的行為,
pakolongan,place for water buffalo to sleep,牛棚,,,,kolong
pakongaw,a strong word for giving without expecting return * especially to give to someone in need,有強烈意味的援助，不計回報,,,,
,to change someone's message with intent to mislead the hearer,改變企圖，誤導聽者的消息,,,,padahof
pakonira,to leave on ones own * to let go * assuming no responsibility for but giving freedom to,任意，讓，放縱；不負責任意給予充分的自由,Pakonira aka haenen ko wawa a papisalama.,Don't let children / a child go play without supervision.,不要放任小孩子玩耍,
,,,Tada mapakoniraay ko demak nira.,He is too much on his own / without accountability.,他的行為太任性了,
,let do by oneself * not interfere with * not be involved in,讓某人任意去做，任其隨心所慾去作，不干涉,,,,paonol
pakonis,to put a mark on,做記號,,,,konis
pakoror,the braiding together of reeds for the edging of a basket,修篩子邊緣的修緣法,,,,koror
pakoyoc,poor * destitute,貧窮的，無依無靠的,,,,"siya, sapakoyocay"
,orphan * without parents,孤兒,,,,
pakpak,to clap hands,拍手,,,,^
,to hit with the hand,用手拍人,,,,
,to blow smoke from a cigarette or pipe,吹烟,,,,
,to habitually do something,習慣的做某事,,,,
pakuciku,firecrackers (from Japanese),爆竹，鞭砲 (引自日語),,,,"tatla'an, linpac"
pala,territory * district,田地,,,,
,field (Kwangfu * Hualien),田地 (花蓮光復語),,,,talapala
palada',to share something you have,施捨分享給別人,,,,lada'
palahaden,to feed / provide for growth,培育，培養,,,,
palakahemaw,to take lightly something that should be considered seriously,視重為輕，將嚴重的事情看成輕而易舉的事，不在乎，看輕,,,,kahemaw
palakaka,make to be greater than,把…為優，尊…為優,,,,kaka
palakec,to help someone wade through water,幫助別人涉水而過,,,,lakec
palakelaw,to lighten the way for others,為別人照明其路，為別人提燈,,,,lakelaw
palakoli,to make a slave of,把人當苦工,,,,koli
palal,to awaken * literally from sleep,指從睡夢中驚醒過來,,,,
,to become aware * alert concerning,醒悟,Anini to a mapalal ko faloco' iso.,At last you have come aware concerning ...,你今天終於醒悟過來,
,,,len cingra.,Awaken him.,叫醒他,
,,,Matalipa'elal to kako.,1. I was awakened suddenly.  2. I suddenly realized.,1. 我忽然驚醒了  2. 我突然覺悟了,
palalaw,a bird * Formosan Whistling Thrush,紫嘯鶇,,,,
palamitan,place to take root.,根基，基礎，根基地，發根之部位,,,,lamit
palamlam,to make into a mixture * mixing items together as different kinds of books,混合在一起，把不同的食料混合,,,,lamlam
palamo,to breed,使交配,,,,lamo
palamo^celay,the one who makes straight,把某人當作正直的人,,,,
,the one who justifies (biblical term),被認為正當的人,,,,mo^cel
palang,a crow * a raven,烏鴉,,,,
palanotireng,to take for oneself something that didn't belong to him,佔為己有,,,,
palawaco,to degrade,誣衊，虐待，侮辱,,,,sawaco
palawina,to seek someone for comfort and encouragement,找一位能安慰與鼓勵的人,,,,wina
palawinaan,someone on whom to be dependent,可依賴的人,,,,wina
palayapay,an Amis village,台東縣鹿野村,,,,yapay
palefod,to rush to finish a task,趕工,,,,
pali'ayaw,to do or make preparations before the time,時間未到以前預先準備,Pali'ayaw cingra a pasowal to nika o aira  Kristo.,He prophesied of Christ's coming.,他預言基督的降臨,
paliding,a vehicle * such as a wagon or cart * generic term,牛車的總稱,Pakapaliding cingra a tayra.,He went by vehicle / cart.,他坐車前往,
,,,Pakapalidingen konini a si'elac.,Take this gravel away in a vehicle / cart.,把這些砂礫用車子載運,
palifet,to put to the test,考驗,,,,
,to give oneself fully with total exertion,全力以赴,,,,lifet
palifon,to pay wages,付薪資,,,,lifon
palimangta',From magta' (raw * not cooked) * to suddenly be struck down*killed while in perfect health,突然死亡，死於非命，英年早逝 (身體非常良好的情形下車禍死亡),o palimangta' hananay a lifanges,someone who is skinned alive,活生生地把它剝皮,
,,,palimangta' a somowal,to speak very bluntly with no tact,說話直截了當，不經思考就直接說,
palimek,to enable someone to hide,使之躲藏,,,,limek
palimlim,to do something openly,炫耀，讓別人羨慕,pa'araw sanay,to do something openly,炫耀，讓別人羨慕,
palimo'ot,to give commands,訓勉，勉勵，勗勉,,,,limo'ot
palinekneken,to make water settle,使之沉澱,,,,neknek
palit,"to be tied * ensnared, with literal and figurative meanings",被捆住，約束，被逮捕，被判坐牢；包涵字面上和比喻上的涵義,Mapalit ko faloco' ako.,My heart is ensnared.,我的心被束縛 (捆住),sapalit
palita,to discern * to look and see the true situation,辨認，指認，認清，判斷，弄清楚真正情況,Misapalitalita kako anini.,I am searching out the matter / investigating now.,我正在探查事情的情況,polita
,,,litaen ho.,Keep taking a look into the situation.,先看清楚，先弄清楚,
paliw,to help each other with field work,輪流相互幫忙田裡的工作,O paliw ako cingra a mipanay.,He is my partner in harvesting the grain.,他是我們割稻的夥伴,
,,,Mapapaliw kita a mipanay.,Let's take turns helping in each others' fields harvesting (no wages given but reciprocal labor).,我們以輪流的方式相互幫忙割稻,
paliyoken,a festival apron worn by men,流蘇前裙，男的佩裙,,,,pi'ayaw
palo,to hit with something large or flatsurfaced or with the hand,用比較大或表面扁平的東西或用手打,,,,
palofaan,fenced in area for donkey or shed,驢柵,,,,lofa
palokapok,grass floating on a pond or lake,浮萍，布袋蓮,,,,
palolol,to restore something to its original condition,事情恢復有原來的狀態,Mapalolol ko nika nga'ay ita.,Our relationship has been restored.,我們和好如初,
,,,Mapalolol to ko matastasay a paliding.,The vehicle has been restored * remade.,車子已修復,
paloma,to plant growing things such as crops or flowers,種植,,,,"pipalomaan, sapaloma, mapaloma"
paloma',to give a house or land for a house to someone,蓋房子，割地建房子,,,,loma'
palonanay,sailors,水手，船員,,,,lonan
palosayan,an orchard,果園,,,,losay
pamalataw,to go through a religious ritual as when cleansing soldiers who have been through war.  There is disagreement in different parts of the tribe as to who goes to malataw -- good people or criminals * hunters * soldiers * or other people involved in killing.,經戰亂而回之士兵，都經一個宗教的潔淨儀式。在各族中，有不同的掌權神明，為善男信女或犯罪之人，獵人，士兵， 或殺人者有各不同的宗教儀式,,,,malataw
pamatang,to go into virgin territory and start from scratch * to colonize,開墾或拓殖新地,,,,matang
pameceng,to stare,凝視，瞪視，目不轉睛,,,,
pamingming,to call a medium to do ritual over a sick person,邀請巫師驅逐死人靈魂或驅逐致病邪靈的儀式,,,,
,to pay a medium,給巫師代價酬勞,,,,mingming
pamotek,to stare * gaze intently,瞪眼注視，瞪大眼睛,,,,
pana',a bow for shooting arrows,弓箭,sapipana' a tilo,a bow snare,弓插機,"sapana', mipana', papana'en"
panahal,a piece of ground with nothing growing on it but short grass,平坦無物，只長短草的一塊地,,,,
panay,rice * the harvested grain,稻子,,,,
,"Panay, name for a woman","Panay, 女人的名字",,,,
,generic word for grain,稻的總稱,,,,"pipanayan, kapanayan"
pances,the rudder of a ship,舵,,,,
panco,underpants (from Japanese and English),內褲 (引自日語和英語),,,,
panga,penis * male sexual organ,陰莖，男人的生殖器,,,,
pangala'en,to make a space to let through,使有間隙，設置間隙以便通過,,,,ngala'
pangcah,the name the Amis give themselves,阿美族人自稱,,,,
,in some areas it can refer to all tribal peoples,在某些地方以此字涵蓋所有的山地同胞,,,,ngcah
pangiwngiw,to talk about (someone) behind his back,說別人的壞話，挑撥是非，挑撥離間,,,,ngiwngiw
pangkiw,half,一半,Cecay ko toki ira ko pangkiw ira cingra a tayni.,He came at one thirty (literally one and a half).,他一點半到達這裡,
pangloy,a leafy vegetable (from Amoy dialect),萵苣植物 (引自閩南語),,,,
pangpang,eaves on a building,屋簷,,,,pangpangan
,Double flower gardenia,重瓣黃梔,,,,
pangpangan,the eaves of a building,屋簷,,,,
,a porch* a covered entrance to a building,引自大門有屋頂覆蓋的走廊,,,,pangpang
pangta,shallow * with literal and figurative meanings,淺的，不深的，兼有字面上和比喻上的涵義,Matalaw cangra to talapangtaan no lonan.,They were afraid of the ship running into shallows.,他們很害怕船會擱淺,
paniis,hair that grows above and beside the ears,雙鬢的部分，臉旁靠耳際的部位,,,,
paniyaro'an,a place to establish a village when the group moves,部落的所在地，部落的位置,,,,niyaro'
panonor,to immediately do what can be done as available,立即做隨手漸次所能夠作的事情,,,,nornor
paong^ongan,name of an Amis village,台東成功鎮八翁翁部落名,,,,ong^ongan
paonol,let do by oneself * not interfere with * not be involved in,讓某人任意去做，任其隨心所慾去作，不干涉,,,,onol
paoror,to stir up * arouse people to do something evil,促使，唆使別人做不正當的事,,,,pacoracor
paosa,to take food to someone as to workers in a field,將飯盆送給在田裡工作者,,,,osa
papa'ong,a bird * House Martin,燕子,,,,'alolil
,Red rumped Swallow,紅尾燕,,,,
,House Swift and White throated Spinetail Swift,褐雨燕,,,,
,asparagus,蘆筍,,,,'apapong
papah,leaf * leaves,葉子,cipapahay a dateng,leafy vegetable,有葉的蔬菜,
papana'en,the scoreboad,箭靶,,,,
,thing to be shot with arrows,目標,,,,pana'
papaycian,coin purse,錢袋，錢包,,,,payci
papaysoan,money bag * purse,錢袋，錢包,,,,payso
papeng,to beat out * thresh out,打稻具,,,,pacpac
papida,pay money,付錢,,,,pida
papikedan,informant * source of information,眼線，資料或消息來源,,,,piked
,a term describing men in the 35-40 year age group * men in full strength of maturity with experience,描寫人到35 歲至40歲之間，壯年期的術語，男人正值精力充沛經驗豐富時期,,,,
papo,hemorrhoid *a swelling at the anus,腫脹，痔核,,,,
,a tree * Elaeocarpus argenteus,腺葉杜英,,,,
,a swelling,脹大，隆起，膨脹,,,,
papotal,a generic word for outdoors * outside of the immediate context,外面的總稱，臨近的外圍,,,,potal
para',seat * part of your body with which you sit * bottom,身體用以坐下的屁股部位,,,,hemot
,the bottom of a container such as a bucket,容器如水桶底部,,,,
,the stern of a ship * the back of a vehicle,輪船尾部，車子的後部,,,,
parac,to interrupt sleep,妨礙睡眠,Maparac ko foti' ako.,My sleep was interrupted.,我的睡眠被干擾,cokat
,,,Aka piparac to foti' ako.,Don't interrupt my sleep.,不要妨礙我的睡眠,
parafas,to give so much that there is an over supply,比標準多一點，多出,,,,rafas
parana'an,the base * foundation,地基，基部,parana'an no loma',the building's foundation,建築物的根基,
parar,a table,桌子,,,,cokoi
parekpek,to march * the beat of feet,長途跋涉，用力踏步,,,,
parikor,to do for the last time,最後的交代,parikor to sowal,to make a farewell speech,告別辭,paikor
,,,parikor to demak,to help with some activity for the last time (before leaving),臨行前對一些活動，做最後的交代與協助,
,,,parikor a pakaen,to give a farewell meal to (someone who is leaving),臨別請客，餞行,
pariwan,the name of a neighboring tribal group in Taiwan called the Paiwan,排灣族,,,,riwan
paro,members of a group,一個團體的組成份子,na ko paro no loma' iso?,How many members are there in your family?,你家有幾口人？,
,contents of,⋯的內容,O maan ko paro noya kaysing,What is in that dish?,裝在碗裡面的是什麼東西？,
,to put inside of,裝進裡面,roen konini i paliding ako.,Put this in my vehicle.,請把這東西裝在我的車子裡,
paro'ot,to see a person off * saying farewell and staying behind and watching him go,目送，歡送，送行，說聲珍重再見，站在那裡目送他走,,,,patono
parod,cookig stove * hearth,爐灶,,,,
,family,家庭,,,,misaparod
parok,the tree and its flower which is like cotton,棉花,no kilang a parok,a tree * Bombox helaphylla willd,木棉,
,heavy quilts * pugai * made from cotton-like stuffing,棉被,,,,sawfan
parokpok,to gallop,飛馳，飛奔離去,,,,
parongaping,the edge of clothing,縫紉，縫合衣服的邊緣,,,,
parpar,to beat out grain or beans from the shells or husks,打碎外殼取五穀或豆類,,,,
pasafafaw,to hike upriver through the riverbed or go in a boat,往上而行，逆流而上,,,,fafaw
pasamo,to improvise * do something temporarily,臨時而作，即興而作之意,pasamo to sowal,give the gist of the matter in words,說要點，即興略說事情的要旨,
,,,moen ita ko demak anini.,For now let's improvise.,今天讓我們即興而作以表敬意,
pasaripa'an,a place to put ones feet,踏步的地方,,,,"ripa', taripa'an, saripa'"
pasasi'ayaw,to cause to face each other,面對面,,,,
pasayni,directly this way as the bird flies,如飛鳥直飛而至,yni ko rakat nira.,He is headed this direction.,他走向這裡來,
,,,ynien ko faloco'.,Give me your full attention. (speaker is the focus point).,(請注意)，請全神貫注在這裡,
pasayra,to be directed the other direction as the bird flies,別的方向，如鳥之飛走,yra a minengneng.,Look that direction.,請向那邊觀看,
,,,yraen ko faloco.,Give your full attention to that (away from speaker).,請全神向那邊貫注,
,,,pasayra ko rakat nira.,He is headed in that direction,他往向那邊走,
paseka,to hesitate,遲疑，躊躇,O maan ko kapasekaan iso?,What is causing you to be inhibited / double-minded?,你擔心什麼/你遲疑什麼？,
,to be afraid * to have inhibitions,害怕，抑制,Pasekaseka ko faloco' nira anini.,He seems so inhibited * unnatural in responding at present.,他現在心情似乎有些很驚慌，他現在反應不自然,
,to be double minded * to have reservations,三心二意,,,,
pasela',to rest,休息,,,,
,to give breath * i.e. to rest,休息，放假,,,,"pahanhan, sela'"
pasema,to stick out one's tongue,伸舌頭,,,,sema
paseta',to suddenly fall down flat,突然摔倒,Mapaseta' kako nai paliding.,I fell out of the cart flat on the ground.,我從車子摔出而跌在地上,
pasetek,to figuaratively cut something * i.e. to make a decision,"比喻上指對某些事物的決斷, 就是做某種決定",Mapasetek to ko sowal.,The matter is settled / decided.,話已決定，事情已決定,setek
,,,O nipasetekan to a romi'ad anini.,This is the day that was set.,今天是決定的日子,
,,,paseteko i patay koya ciraraway a tamdaw.,That sinner is condemned to death.,那個罪人被宣判死刑,
,,,Mapasetek to i raraw kika o tamdaw.,We people have been condemned in sin.,我們人類被定在罪中,
paseteng,to stake out * tie up to * referring to animals,拴住，綁，捆，用繩子繫住 (家禽),,,,paketing
pasi'ayaw,to face ahead in direction,向前,,,,
pasifafaed,directed towards above,向上(走或看),,,,fafaed
pasifana',teach * give instruction,教導，教書，教學,,,,fana'
pasikaen,to eat all food * not just rice,吃擺出來的食物(不只是吃飯而已),,,,
,command to shy uneasy dinner guests,催客氣的食客吃菜餚,,,,kaen
pasiket,attach to * hook up to,屬於，鈎住,,,,siket
pasimal,to add oil / gasoline,加油 / 汽油,,,,
,to rub oil or grease on,塗油,,,,
,to cook with oil,煮菜要用油，烹調時菜上加油,,,,simal
pasirian,"sheep, goat pen",羊舍，山羊舍,,,,siri
paso,bus (from Japanese and English),巴士 (引自日語和英語),,,,
paso'elin,to believe * literally to cause / make out to be true * to have confidence,相信，信任；字面上說那是真的理由；有確信,Cima ko papaso'elinen ita?,Who can we believe?,誰值得我們信任？,"so'elin, pakaso'elin"
,,,Pakapaso'elin kiso haw?,Can you believe?,你能相信嗎？,
,,,Paso'elinen ko sowal ako.,Believe what I say.,請相信我所說的話,
,,,O maan ko nipaso'elinan iso?,What doctrine do you believe?,你相信什麼呢？,
pasongan,an Amis village,台東縣長濱鄉白桑安阿美族部落,,,,songan
pasorot,pay dues,捐贈,,,,sorot
patada,to be ready to receive before the object hits the ground,東西接到地面以前先舖上墊子以策安然地接下東西,,,,
,to hold so that the object is in the right position,鋪上墊子使東西屹立不搖,,,,tada
patadas,to begin something new,重新開始,Patadas cangra anini a misaloma'.,They are beginning to build a house.,他們開始重新蓋房子,tadas
,,,Patadas cangra to omah.,The are making land into a field.,他們重新耕地開拓,
patado,to do for someone else so they don't have to do it themselves,代某人默默的去做，使他們不必為他們該做的事去做,Patado  Yis titaanan a milaheci to demak.,Jesus did the work for us (we don't have to do it).,耶穌為我們完成救贖的工作,tado
patafak,to give a cigarette or tobacco,分享香烟或烟絲，以香烟招待,,,,tafak
patafoan,lunch basket and its contents,便當盒,,,,tafo
patahtah,with sowal - to tell everything,胡說,,,,
,to do any way but not correctly,任意做但不正確,Patahtah saan cingra a parakat to citosiya.,He drove the car as he pleased (without regard to rules).,他開車橫衝直撞不顧交通規則,
,with 'orip - to live a life of ease and luxury,生活遊手好閒，並且奢侈,,,,
patakosay,a messenger to bring ambassadors from another village,特派員，傳達信息的人，天使,,,,takos
patala,to prepare * make preparations literally to make / cause to wait,準備，預備，籌備，預先 準備；字面上說明等待的理由,Patalaen ko faloco' iso.,Prepare your heart.,請你預備心,tala
patala'ayaw,to send on ahead,領到前面來,,,,
patalahekal,to reveal,公開，顯示,,,,
,confess * reveal,承認，認罪，自認，啓示，告別,Mapatalahekal to koya demak,The thing is revealed.,事情已經被公開了,"hekal, talahekal"
,,,Patalahekal to ko raraw iso.,Confess your sin.,你要告白你的罪,
patalaw,to threaten,恐嚇，威脅,,,,talaw
pataloma',to have a wedding * to marry * give in marriage,結婚，婚禮，娶親,,,,
,Literally to take into the home be cause an in law has been brought into the home,字面上指把媳婦(新娘)或贅婿(新郎)帶回家的意思,O pipataloma'an to wawa niyam anini.,This is the day to marry our child.,今天是我們兒子結婚大喜的日子,"'tim, pararamod, loma'"
pataminaan,harbor,渡船的碼頭,,,,tamina
patangal,Refer to mihitangal,詳見 mihitangal,,,,mihitangal
patarod,to substitute an item or person for the original,儲備，後補，代替,O tarod cingra a mimali.,He is a substitute ball player.,他是後補球員,
,,,O tarod konini a kikay to matastasay,This machine is a substitute for the original which is not working.,這個機械是要替換原來已損壞的機械,
patay,death * to die,死,Mapatay to cingra.,He died.,他死了,
,,,Kinapatay to cingra.,He killed himself.,他自殺了,
,,,O kapatayan nira a romi'ad,the day he died,他死亡的日期,
,,,tayen koya waco.,Kill that dog.,把那隻狗打死,
,,,tayen cingra to 'ada ako.,Make him / have him kill my enemy.,叫他殺死我的敵人,
,,,O papatayen cingra.,He must be killed.,他是要被槍斃的人,
,figurtatively to be crushed and despair,比喻希望被粉碎和絕望,Mapatay to ko faloco' ako.,I have lost my spirit.,我的心已死了,
,to go to extreme limits to do something,極盡限制去做某些事情,patay  a misimed to patelac,search to protect ones reputation from scrutiny,他極盡掩飾他的錯誤,
patayi',to put manure on,施肥,,,,tayi'
patedo,to do something in a way that is contrary to rules or guidelines,做違犯規則與指導原則的事情,Aka patedo to demak.,Don't do things without regard for principle.,不要任意做違犯原則的事情,pakido
,,,Patedo  ko sowal nira.,He talked without thought for feelings or propriety.,他隨便亂說,
patefo,to light upon * to descend and perch or settle upon,着落，降落，飛棲安居,patefo to sowal,to decide to do something,答覆,pipatefoan
patek,"a thousand, number value",一千，數目,O kakeridan no sapatekey a sofitay cingra.,He is officer over one thousand soldiers.,他是千夫長,"lfot, cing"
,a knife or machete handle,刀柄，把手,,,,
patekel,to make go without eating,不給予吃東西,,,,tekel
patelac,to miss the mark,錯劃記號，錯過記號,,,,
,to make a mistake * do the wrong thing,犯錯，做錯事,,,,
patelaw,the upper arm * from the elbow to the shoulder,手臂肌肉，從肘部至肩膀的肌肉,,,,
pateli,to put or place,放置,,,,teli
patelian,a place to put something,放置處,,,,teli
pater,to make run fast with reference to pedaling a bicycle,速度跑的很快，參考騎腳踏車,,,,
paterongan,name of an Amis village,花蓮縣豐濱鄉新社部落名,,,,trongan
patifarang,to cross one's legs,把腿交叉在別人腿上睡,,,,tifarang
patih,a fence or wall made of grass or bamboo,圍牆，防風牆，或草製或竹製牆壁,,,,
patireng,to cause to stand * make stand,使之站立,Patirengen koya matefaday a hecek.,Stand up the pole that has fallen.,把倒下來的柱子豎立起來,
,to establish,建立,,,,
,to build,就任，建築,Mipatirengay cangra to loma' anini.,They are building a house right now.,他們現在正在建房子,
,,,Mapatireng to cingra a mala hongti.,He was elected president / king.,他已被封為王子，他已被選為總統了,
patiyam,to sell merchandise,做生意，做買賣，交易,,,,tiyam
patiyamay,a shop * place of business,雜貨店，生意人，店舖,,,,tiyam
pato',to swell,腫脹,Mapato' ko mata ako to nano tomangican ako.,My eyes are swollen from crying,我眼睛而哭泣而腫起來,
pato'aya,to offer in ritual a sacrifice something that must be killed,獻祭牲物；殺生供奉祭品,sapato'aya ko tireng  Yis.,Jesus' body became a blood sacrifice.,耶穌的身體被供為祭品,"tafang, to'aya"
,,,pipato'ayaan a romi'ad,day for offering a sacrifice,獻祭的日子,
patokoan,place where beam is anchored to a cross beam,木頭交叉會合之地方,,,,toko
patonek,to set * establish * decide,設定，指定，設立，構想,O pipatonekan a romi'ad anini.,This is the date that was set (as for a conference).,今天是指定 (決定) 的日子,
,,,Patoneken ko sowal.,Make a decision (about a matter).,做一個決定(有關事件),
,with reference to time,指時間,,,,
,place or words or ideas or plans,地點、觀念或計畫,,,,
patongaren,upper garments,男用長外衣,,,,
patono,"to see someone off, to bid farewell staying behind",歡送，目送，餞行；囑咐後，停住目送,,,,paro'ot
patorod,to hand over responsibility for,委託，拜託，託負，交記，交付,Patoroden kako tonini a tayal.,Give me this responsibility.,把這工作交給我做,
,,,O pipatorodan a romi'ad anini.,This is the day that the responsibility changes hands.,今天是交負重任的日期,
,,,O papatoroden ako i tisowanan konini a demak.,I must turn over this matter to you.,這件事情我要交託給你去做,
patosokan,goal * objective * purpose,目的地，目標，箭靶,,,,tosekan
pawacay,to give evidence,提出證物,,,,
,to witness,做見證，做證人,,,,"wacay, mawacacy"
pawadis,to cut a tooth,長牙，出牙,,,,wadis
pawali,to dry outside,曬,Mipawali ko fiyaw to panay nangra.,The neighbors are drying their rice (on the drying floor).,隔壁鄰居在曬他們的穀子,
,,,Pawalien ko riko'.,Hang up the clothes to dry.,把衣服拿去曬,
pawan,to forget,忘記,Mapawan kako a pasowal i ngraan.,I forgot to tell him.,我忘了告訴他,tawal
,,,O maan ko kapawanan iso?,What did you forget?,你忘了什麼呢？,
pawawa,to give offspring,使受孕,,,,
,to charge interest,生利息,,,,wawa
pawing,to lean head to one side,歪頭，頭傾向一邊,,,,'iring
pawli,banana * bananas,香蕉,,,,
pawpaw,"to drift * be afloat, with literal and figurative meanings",飄浮，猶豫，不固定，不穩重，輕浮；字面上和比喻上的涵義,Mapawpaw ko faloco' ako anini.,My heart is adrift / i.e. I have no direction for what to do.,今天我心情猶豫不決，今天我心飄浮不定,
,,,Mapawpaw ko sowal nira.,His words are without significance * impractical.,他的話很膚淺,
,,,Mapawpaw ko 'aol i riyar.,Bamboo is adrift in the ocean.,竹子在海中飄浮,
pawti,gunny sack * gunny sacking * burlap,麻袋，粗麻布,,,,
paya,a sign or notice attached to something,牌子,,,,
payak,to fall over in one piece as for a fence to fall down,整塊的傾倒在地上，如同整塊圍牆或籬笆,,,,
payax,to break down,破壞，弄壞，壓毀,,,,
,as of dirt dikes between terraces of rice fields,如破壞田裡之間田埂及壕溝,,,,"pkoh, roroh"
payayoka,an edible vegetation * Diplocyclos palmatus,百香果,,,,
payci,a coin * coins,錢幣,,,,
,generic in some dialects for money,某些方言指錢的總稱,,,,papaycian
paydas,a species of tree * Philippine Hackberry cinnamon,肉桂,,,,
payrang,Taiwanese people,台灣人,,,,yrang
paysin,taboo * the thought of taboo,禁忌，迷信，忌諱,ysin aka ka saan a komaen to titi.,Don't consider it taboo to eat meat.,不要以為吃豬肉是違犯禁忌,kapaysinan
,,,Adihay ko kapaysinan no 'Amis itiyaho.,The Amis used to have a lot of sacred and religious prohibitions / taboo.,古代阿美族有很多禁忌 (迷信),
payso,generic term for money,錢，銀幣，錢幣，鈔票,,,,"payci, pida, papaysoan"
pco',to pick fruit from a tree or a bush,從樹或灌木上摘取果實,,,,
pdadoki,a bat * mammal,蝙蝠,,,,padadoki
peca',out of joint * dislocated from the joint so that the end hangs loose,折斷，踹斷，脫臼，斷層,,,,
,referring to people or things,指人或事物,Mapeca' ko kamay.,The lower arm hangs loose at the elbow.,手折斷，手脫臼,
,,,Aka pipeca' to ca'ang no kilang.,Don't break loose the tree branch (at the joint).,不要折樹枝,
pecas,dislocated or broken at the joint so that the end hangs loose as of branches of a tree or a broken limb,在結枝部位斷裂使尾部倒懸在那兒如同斷裂的樹枝或手臂,Pcasen ko ca'ang ta ma'araw.,Break the branch so that it dangles then we can see.,要折斷樹枝才可以看見,"peca', pincas"
pecec,flattened out and crushed by being stamped on or being hit with heavy weight (of living things),擠壓，壓扁，把有生命的東西用很大的重量壓扁或擊碎,Aka pipecec to fao.,Don't smash living creatures.,不要壓死昆蟲,
,,,Mapecec no paliding ko posi.,The vehicle smashed the cat.,貓被車子壓死,
peci',to break in pieces (South),破碎 (南部阿美語),,,,
,to break with only one piece missing (Hualien),破缺一塊 (花蓮語),,,,
,to divide and share * as for example food or land,擘開食 物分享給別人，分一塊給人,papeci' to fiyaw namo to cecay a siri.,Divide with your neighbors one sheep.,與你鄰居平分一隻羊,pecih
pecici,to press on from two directions as when squeezing out pus from an infected pimple,從兩個不同的方向同時擠壓，如擠出疔瘡或面疱的膿液,,,,
pecih,to break in half or take a piece off of as a loaf of bread as a lump of rice or lump of earth,擘成一半或取走一半，如擘一塊麵包，如擘飯糰或成塊泥團,Mapecihay koya epang.,Part of the loaf has been broken off.,麵包被擘開一塊,"pinapecih, kinapecih, pinapecih"
,,,Mapecih nira ko epang.,He broke off a piece of bread.,他擘了一塊麵包,
pecod,to leave * cause to leave place to which thing is attached,相接的部位鬆掉,,,,"mapecod, pecoden"
pecoden,grab hold of (a command),(命令)鬆開,,,,"mapecod, pecod"
pecoh,snails found on rocks on the beach with edible flesh,黏附在海岸岩石上可食的海螺,,,,
,to take someone's place away from him,趕他走而後把他的住處佔為己有,,,,'afas
pedadac,ripped clothing * badly torn,衣服被撕裂一塊(穿在身上的),,,,
pedek,to put out * as when lights are turned off,熄滅，關燈,Mapedek ko tingki.,The electricity was switched off.,熄滅,"sapedek, pelek"
,,,papedek ko mata.,Eyes are blinking.,眼睛會眨，眼睛開閉,
pedeng,state of having ears hurt from too much noise and confusion,聲音響的過大和嘈雜聲所引起的聽覺傷害,,,,
pedik,drooping * folded over * as the ears of a dog,摺疊，垂耳 (如狗),Pediken ko tatipelok.,Fold the paper over.,把紙摺疊起來,
,,,Mapedik ko tangila noya waco.,That dog's ears droop.,那隻狗的耳朵垂下來,
pedoc,to suddenly turn around and leave,溜走，閃躲 (突然開溜),,,,piyoc
pedoh,the white pulp inside of a tree such as is used in making paper,樹幹中間有白軟塊可作為紙張的原料,,,,
,"to be empty * disappear, as the contents of a container",中空，如容器內面,Mapedoh to / mahorac to ko lofoc ako.,My sack is empty (contents have disappeared / fallen out).,我的袋子已空了(內裝的物品不見了或完全倒出來),"mipedoh, miletek"
pedped,to crowd * pack solid,群眾擁擠，人山人海,Mapedped ko salikaka a milihay.,The Christians were packed / crowded in the worship service.,參加禮拜的信徒擠滿了教堂,
pekaw,to suddenly run away quickly,突然奔馳跑掉,Alapekapekaw  cangra a milaliw.,They all fled.,他們各自飛奔逃走,
