source_id,record,sentence_id
Amis_106,GLOSBE_REVIEWED_ZHO_08ce58a098f2b863,GLOSBE_ami_zho_TMEM_U000109
Amis_107,GLOSBE_REVIEWED_ZHO_2f196b9dc7f3257a,GLOSBE_ami_zho_TMEM_U000110
Amis_108,GLOSBE_REVIEWED_ZHO_3c599ab9d37bab65,GLOSBE_ami_zho_TMEM_U000111
Amis_109,GLOSBE_REVIEWED_ZHO_6ff17904570b11a9,GLOSBE_ami_zho_TMEM_U000112
Amis_110,GLOSBE_REVIEWED_ZHO_b49f5774e17027f6,GLOSBE_ami_zho_TMEM_U000113
Amis_111,GLOSBE_REVIEWED_ZHO_6617351d9fc04bc7,GLOSBE_ami_zho_TMEM_U000114
Amis_112,GLOSBE_REVIEWED_ZHO_73e4e7adec1fa04d,GLOSBE_ami_zho_TMEM_U000115
Amis_113,GLOSBE_REVIEWED_ZHO_a9e100f5b5398618,GLOSBE_ami_zho_TMEM_U000116
Amis_114,GLOSBE_REVIEWED_ZHO_224c5be0c48f88c5,GLOSBE_ami_zho_TMEM_U000117
Amis_115,GLOSBE_REVIEWED_ZHO_9691cba8af3e80bf,GLOSBE_ami_zho_TMEM_U000118
Amis_116,GLOSBE_REVIEWED_ZHO_a1612cec1fb0d4b1,GLOSBE_ami_zho_TMEM_U000119
Amis_117,GLOSBE_REVIEWED_ZHO_24f75af96297a356,GLOSBE_ami_zho_TMEM_U000120
Amis_118,GLOSBE_REVIEWED_ZHO_b5d3c10d576036fc,GLOSBE_ami_zho_TMEM_U000121
Amis_119,GLOSBE_REVIEWED_ZHO_e0ed50d4afbbff84,GLOSBE_ami_zho_TMEM_U000122
Amis_120,GLOSBE_REVIEWED_ZHO_50cbff7189b8b863,GLOSBE_ami_zho_TMEM_U000123
Amis_121,GLOSBE_REVIEWED_ZHO_e4b23c48959b07ac,GLOSBE_ami_zho_TMEM_U000124
Amis_122,GLOSBE_REVIEWED_ZHO_ef62c78ea5e2ee6e,GLOSBE_ami_zho_TMEM_U000125
Amis_123,GLOSBE_REVIEWED_ZHO_9ccf7b4e252e18af,GLOSBE_ami_zho_TMEM_U000126
Amis_124,GLOSBE_REVIEWED_ZHO_50a76fb96cae6ea0,GLOSBE_ami_zho_TMEM_U000127
Amis_125,GLOSBE_REVIEWED_ZHO_76c67384dc12bc2d,GLOSBE_ami_zho_TMEM_U000128
Amis_126,GLOSBE_REVIEWED_ZHO_aef8da93f0388de1,GLOSBE_ami_zho_TMEM_U000129
Amis_127,GLOSBE_REVIEWED_ZHO_a2428b06966f0f85,GLOSBE_ami_zho_TMEM_U000130
Amis_128,GLOSBE_REVIEWED_ZHO_9aef210f29b7f3ab,GLOSBE_ami_zho_TMEM_U000131
Amis_129,GLOSBE_REVIEWED_ZHO_aac2b371c5f88948,GLOSBE_ami_zho_TMEM_U000132
Amis_130,GLOSBE_REVIEWED_ZHO_0fd390a0fb1f8229,GLOSBE_ami_zho_TMEM_U000133
Amis_131,GLOSBE_REVIEWED_ZHO_5525fcc4f9e9646a,GLOSBE_ami_zho_TMEM_U000134
Amis_132,GLOSBE_REVIEWED_ZHO_4380cb1f539e9f69,GLOSBE_ami_zho_TMEM_U000135
Amis_133,GLOSBE_REVIEWED_ZHO_447ac291ea1c3616,GLOSBE_ami_zho_TMEM_U000136
Amis_134,GLOSBE_REVIEWED_ZHO_27922228144039ee,GLOSBE_ami_zho_TMEM_U000137
Amis_135,GLOSBE_REVIEWED_ZHO_9b4cc3c00af7462c,GLOSBE_ami_zho_TMEM_U000138
Amis_136,GLOSBE_REVIEWED_ZHO_1a5fa0b79c3984ca,GLOSBE_ami_zho_TMEM_U000139
Amis_137,GLOSBE_REVIEWED_ZHO_af34dffb27c87fa3,GLOSBE_ami_zho_TMEM_U000140
Amis_138,GLOSBE_REVIEWED_ZHO_caf6e411d64e80e8,GLOSBE_ami_zho_TMEM_U000141
Amis_139,GLOSBE_REVIEWED_ZHO_fef010bc7f89cd31,GLOSBE_ami_zho_TMEM_U000142
Amis_140,GLOSBE_REVIEWED_ZHO_ac29d6b9b1f9ae5f,GLOSBE_ami_zho_TMEM_U000143
Amis_141,GLOSBE_REVIEWED_ZHO_5f20679957f51631,GLOSBE_ami_zho_TMEM_U000144
Amis_142,GLOSBE_REVIEWED_ZHO_d090662a9e5387ea,GLOSBE_ami_zho_TMEM_U000145
Amis_143,GLOSBE_REVIEWED_ZHO_85a8b0d155b1dabc,GLOSBE_ami_zho_TMEM_U000146
Amis_144,GLOSBE_REVIEWED_ZHO_d0e839f9bc59ee73,GLOSBE_ami_zho_TMEM_U000147
Amis_145,GLOSBE_REVIEWED_ZHO_32e8eb7c0e0f13aa,GLOSBE_ami_zho_TMEM_U000148
Amis_146,GLOSBE_REVIEWED_ZHO_ea43c1c1ef219aae,GLOSBE_ami_zho_TMEM_U000149
Amis_147,GLOSBE_REVIEWED_ZHO_77199fbef95ec571,GLOSBE_ami_zho_TMEM_U000150
Amis_148,GLOSBE_REVIEWED_ZHO_4ddcebfc3add29a2,GLOSBE_ami_zho_TMEM_U000151
Amis_149,GLOSBE_REVIEWED_ZHO_bb319a5a2a9edcc0,GLOSBE_ami_zho_TMEM_U000152
Amis_150,GLOSBE_REVIEWED_ZHO_a2c6bc6b2da04bb4,GLOSBE_ami_zho_TMEM_U000153
Amis_151,GLOSBE_REVIEWED_ZHO_cc1e85764b2aa602,GLOSBE_ami_zho_TMEM_U000154
Amis_152,GLOSBE_REVIEWED_ZHO_befcc41b77f24461,GLOSBE_ami_zho_TMEM_U000155
Amis_153,GLOSBE_REVIEWED_ZHO_aee37768c9af6961,GLOSBE_ami_zho_TMEM_U000156
Amis_154,GLOSBE_REVIEWED_ZHO_dce087267561b3c4,GLOSBE_ami_zho_TMEM_U000157
Amis_155,GLOSBE_REVIEWED_ZHO_20823eca144b86d6,GLOSBE_ami_zho_TMEM_U000158
Amis_156,GLOSBE_REVIEWED_ZHO_45f04ef80ff60f48,GLOSBE_ami_zho_TMEM_U000159
Amis_157,GLOSBE_REVIEWED_ZHO_2d1128e97aac1bc6,GLOSBE_ami_zho_TMEM_U000160
Amis_158,GLOSBE_REVIEWED_ZHO_4bcc444a50da9376,GLOSBE_ami_zho_TMEM_U000161
Amis_159,GLOSBE_REVIEWED_ZHO_1128060a3e1e8172,GLOSBE_ami_zho_TMEM_U000162
Amis_160,GLOSBE_REVIEWED_ZHO_ab7ac0478a318140,GLOSBE_ami_zho_TMEM_U000163
Amis_161,GLOSBE_REVIEWED_ZHO_593a6fea21ceb584,GLOSBE_ami_zho_TMEM_U000164
Amis_162,GLOSBE_REVIEWED_ZHO_a080f77e309cca4d,GLOSBE_ami_zho_TMEM_U000165
Amis_163,GLOSBE_REVIEWED_ZHO_d2020df8b4fad333,GLOSBE_ami_zho_TMEM_U000166
Amis_164,GLOSBE_REVIEWED_ZHO_fb104e2578a763ad,GLOSBE_ami_zho_TMEM_U000167
Amis_165,GLOSBE_REVIEWED_ZHO_718f620f116bc5e8,GLOSBE_ami_zho_TMEM_U000168
Amis_166,GLOSBE_REVIEWED_ZHO_08e2a4c01841704c,GLOSBE_ami_zho_TMEM_U000169
Amis_167,GLOSBE_REVIEWED_ZHO_d5841d5b02bff344,GLOSBE_ami_zho_TMEM_U000170
Amis_168,GLOSBE_REVIEWED_ZHO_f2c3c7ccf3af2c81,GLOSBE_ami_zho_TMEM_U000171
Amis_169,GLOSBE_REVIEWED_ZHO_72fa63d3bdf5c90b,GLOSBE_ami_zho_TMEM_U000172
Amis_170,GLOSBE_REVIEWED_ZHO_9d503e6c85bb2df7,GLOSBE_ami_zho_TMEM_U000173
Amis_171,GLOSBE_REVIEWED_ZHO_f9737ffce692e6bc,GLOSBE_ami_zho_TMEM_U000174
Amis_172,GLOSBE_REVIEWED_ZHO_c6a813706f4d29f0,GLOSBE_ami_zho_TMEM_U000175
Amis_173,GLOSBE_REVIEWED_ZHO_a9b23fbe11051aec,GLOSBE_ami_zho_TMEM_U000176
Amis_174,GLOSBE_REVIEWED_ZHO_ffc915b40e14dd04,GLOSBE_ami_zho_TMEM_U000177
Amis_175,GLOSBE_REVIEWED_ZHO_ec69ef4f7595e6b3,GLOSBE_ami_zho_TMEM_U000178
Amis_176,GLOSBE_REVIEWED_ZHO_ca1f175cf8c4d262,GLOSBE_ami_zho_TMEM_U000179
Amis_177,GLOSBE_REVIEWED_ZHO_bffc214d3eef9d18,GLOSBE_ami_zho_TMEM_U000180
Amis_178,GLOSBE_REVIEWED_ZHO_70528050af0207f4,GLOSBE_ami_zho_TMEM_U000181
Amis_179,GLOSBE_REVIEWED_ZHO_c3b93075bea81e7d,GLOSBE_ami_zho_TMEM_U000182
Amis_180,GLOSBE_REVIEWED_ZHO_6f92e6238bdb9749,GLOSBE_ami_zho_TMEM_U000183
Amis_181,GLOSBE_REVIEWED_ZHO_11beb2d0714c1836,GLOSBE_ami_zho_TMEM_U000184
Amis_182,GLOSBE_REVIEWED_ZHO_e70924620d9ad613,GLOSBE_ami_zho_TMEM_U000185
Amis_183,GLOSBE_REVIEWED_ZHO_c40d7a0c8e4dc60b,GLOSBE_ami_zho_TMEM_U000186
Amis_184,GLOSBE_REVIEWED_ZHO_4b32659b2912f233,GLOSBE_ami_zho_TMEM_U000187
Amis_185,GLOSBE_REVIEWED_ZHO_64eceb7c475d9a47,GLOSBE_ami_zho_TMEM_U000188
Amis_186,GLOSBE_REVIEWED_ZHO_c7307dabdd8e4722,GLOSBE_ami_zho_TMEM_U000189
Amis_187,GLOSBE_REVIEWED_ZHO_7c28d4e7f369161d,GLOSBE_ami_zho_TMEM_U000190
Amis_188,GLOSBE_REVIEWED_ZHO_0098e433a4576f02,GLOSBE_ami_zho_TMEM_U000191
Amis_189,GLOSBE_REVIEWED_ZHO_93fa14897f05eb6f,GLOSBE_ami_zho_TMEM_U000192
Amis_190,GLOSBE_REVIEWED_ZHO_c2fadd54089956e1,GLOSBE_ami_zho_TMEM_U000193
Amis_191,GLOSBE_REVIEWED_ZHO_603d75643042585f,GLOSBE_ami_zho_TMEM_U000194
Amis_192,GLOSBE_REVIEWED_ZHO_12764cd0c007f3fd,GLOSBE_ami_zho_TMEM_U000195
Amis_193,GLOSBE_REVIEWED_ZHO_fbdbafe451da2b40,GLOSBE_ami_zho_TMEM_U000196
Amis_194,GLOSBE_REVIEWED_ZHO_0cbc62b716aff873,GLOSBE_ami_zho_TMEM_U000197
Amis_195,GLOSBE_REVIEWED_ZHO_6a433c8bebb9e4a4,GLOSBE_ami_zho_TMEM_U000198
Amis_196,GLOSBE_REVIEWED_ZHO_5390aa8cb93dc03c,GLOSBE_ami_zho_TMEM_U000199
Amis_197,GLOSBE_REVIEWED_ZHO_e065e34607f45821,GLOSBE_ami_zho_TMEM_U000200
Amis_198,GLOSBE_REVIEWED_ZHO_859943a394be09ac,GLOSBE_ami_zho_TMEM_U000201
Amis_199,GLOSBE_REVIEWED_ZHO_7f4f7525849821ef,GLOSBE_ami_zho_TMEM_U000202
Amis_200,GLOSBE_REVIEWED_ZHO_690cae964a9bf60a,GLOSBE_ami_zho_TMEM_U000203
Amis_201,GLOSBE_REVIEWED_ZHO_7c906fdc5d688638,GLOSBE_ami_zho_TMEM_U000204
Amis_202,GLOSBE_REVIEWED_ZHO_c1ba6e274857f556,GLOSBE_ami_zho_TMEM_U000205
Amis_203,GLOSBE_REVIEWED_ZHO_d02019ea113f6a3d,GLOSBE_ami_zho_TMEM_U000206
Amis_204,GLOSBE_REVIEWED_ZHO_cc21dce7799eecf6,GLOSBE_ami_zho_TMEM_U000207
Amis_205,GLOSBE_REVIEWED_ZHO_7ab60f13e5e054b6,GLOSBE_ami_zho_TMEM_U000208
Amis_206,GLOSBE_REVIEWED_ZHO_66a083b37a101a16,GLOSBE_ami_zho_TMEM_U000209
