output_path	video_id	source_path	source_sha256	source_bytes	audio_only_file	output_kind
XML/Atayal/20190130_YutasWilang_dierduan_19fen7miao_untranscribed.xml	R90kNdpb7eI				20190130_YutasWilang_dierduan_19fen7miao_untranscribed.wav	audio_only
XML/Atayal/20190130_YutasWilang_disanduan_1fen37miaobenpianyijingwancheng.xml	d0gP50GCE_U	raw_scrape/20190130_YutasWilang_第三段_1分37秒本篇已經完成_d0gP50GCE_U.txt	a84f70a24fe94b280916eed9acb9475eaf90134fed75ec0977e6b14f10f1fa2c	1790		transcript
XML/Atayal/20190130_YutasWilang_diyiduan_ribenbing_6fen18miao.xml	QpxxtNyVMW0	raw_scrape/20190130_YutasWilang_第一段_日本兵_6分18秒_QpxxtNyVMW0.txt	c3556e3465022929785a8cca7f40dd26a0d57b4a380cff9a5b3d861b7d506df1	10881		transcript
XML/Atayal/20190130_YutasWilang_diyiduan_ribenbing_6fen18miao_untranscribed.xml	QpxxtNyVMW0				20190130_YutasWilang_diyiduan_ribenbing_6fen18miao_untranscribed.wav	audio_only
XML/Atayal/20190209_YutasWilang_ki_Yagu_01_diyiduan.xml	0CBToN3jp4o	raw_scrape/20190209_YutasWilang_ki_Yagu_01_第一段_0CBToN3jp4o.txt	18418000534ef588606162e8ca30a664c8f5897acddffe790d6e36cd96ffd7ca	2291		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_02_dierduan.xml	ICwo07TsuT0	raw_scrape/20190209_YutasWilang_ki_Yagu_02_第二段_ICwo07TsuT0.txt	290de8ebd596305e44b67a68eb01ce2a9e782305bb86dfa4b88a16bf6d7eb65b	7521		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_02_dierduan_untranscribed.xml	ICwo07TsuT0				20190209_YutasWilang_ki_Yagu_02_dierduan_untranscribed.wav	audio_only
XML/Atayal/20190209_YutasWilang_ki_Yagu_03_disanduan.xml	EwZKMqIf54s	raw_scrape/20190209_YutasWilang_ki_Yagu_03_第三段_EwZKMqIf54s.txt	c47ac1f5dbe1ec195b4680756efa08d9df9922b608607800504c4e361d20e2a1	2115		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_03_disanduan_untranscribed.xml	EwZKMqIf54s				20190209_YutasWilang_ki_Yagu_03_disanduan_untranscribed.wav	audio_only
XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	K-66__qv9h8	raw_scrape/20190209_YutasWilang_ki_Yagu_04_第四段_Sayun_K-66__qv9h8.txt	5e892a88275bcabe8943a75d7cc375dbcef506838b4a47ee140c892b6f40704e	6798		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_05_diwuduan.xml	Bl77d-SXdzs	raw_scrape/20190209_YutasWilang_ki_Yagu_05_第五段_Bl77d-SXdzs.txt	8f9e9ac5469ac807125fab08a9f981930d931b97de4ca1cf1c6bdb09b5a169ea	6356		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_06_diliuduan.xml	oRazkj6dqqk	raw_scrape/20190209_YutasWilang_ki_Yagu_06_第六段_oRazkj6dqqk.txt	630c951fbefcf48c1056b28866a2e12c56ac0356ca1e77fa75f3aefa3c64bfd8	992		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_07_dibaduan_yakidege.xml	UCqFKRXsI6I	raw_scrape/20190209_YutasWilang_ki_Yagu_07_第八段_yaki的歌_UCqFKRXsI6I.txt	14a2db4009cdb511411c3f1aa842cec5ac59b3f6bc2b37ba4d542a56f4ffe0e2	3059		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_07_diqiduan_yakidege.xml	yoUVKR9m18Q	raw_scrape/20190209_YutasWilang_ki_Yagu_07_第七段_yaki的歌_yoUVKR9m18Q.txt	eba7ea2561583908b0ff18d465036cdec15aaef0afa7aeaeee9f80a6677e828e	1121		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_07_diqiduan_yakidege_untranscribed.xml	yoUVKR9m18Q				20190209_YutasWilang_ki_Yagu_07_diqiduan_yakidege_untranscribed.wav	audio_only
XML/Atayal/20190209_YutasWilang_ki_Yagu_10_dishiduan_daobie.xml	EONBIAnwLGM	raw_scrape/20190209_YutasWilang_ki_Yagu_10_第十段_道別_EONBIAnwLGM.txt	d3e419850dfe476a8d83f7f86bf86bcdfe87cd99cd8fcc46878aad3366c3938a	514		transcript
XML/Atayal/20190209_YutasWilang_ki_Yagu_10_dishiduan_daobie_untranscribed.xml	EONBIAnwLGM				20190209_YutasWilang_ki_Yagu_10_dishiduan_daobie_untranscribed.wav	audio_only
XML/Atayal/20190407_Yutas_Wilang_di1duan_Sayun_MVI_1699.xml	6VK6KU3zHD0	raw_scrape/20190407_Yutas_Wilang_第1段_Sayun_MVI_1699_6VK6KU3zHD0.txt	84f56d49e439493a38375a631bb7c6141c364f78a8bdfbfd0e0c2a39b7d4e7a8	4269		transcript
XML/Atayal/20190407_Yutas_Wilang_di1duan_Sayun_MVI_1699_untranscribed.xml	6VK6KU3zHD0				20190407_Yutas_Wilang_di1duan_Sayun_MVI_1699_untranscribed.wav	audio_only
XML/Atayal/20190407_Yutas_Wilang_di2duan_Sayun_MVI_1700.xml	ouG3UfTGO4s	raw_scrape/20190407_Yutas_Wilang_第2段_Sayun_MVI_1700_ouG3UfTGO4s.txt	0fb7cd513d28807062b1c6b328e8a435682a9c9a6c585ea8b6712591efe7d12f	2679		transcript
