ePark topic,audio path,lang,dialect,idx,id
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V10.mp3,Kavalan,Kavalan,34,26W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V11.mp3,Kavalan,Kavalan,34,26W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V12.mp3,Kavalan,Kavalan,34,26W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V13.mp3,Kavalan,Kavalan,34,26W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V14.mp3,Kavalan,Kavalan,34,26W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V15.mp3,Kavalan,Kavalan,34,26W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V16.mp3,Kavalan,Kavalan,34,26W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V17.mp3,Kavalan,Kavalan,34,26W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V18.mp3,Kavalan,Kavalan,34,26W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V19.mp3,Kavalan,Kavalan,34,26W_19
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V1.mp3,Kavalan,Kavalan,34,27W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V2.mp3,Kavalan,Kavalan,34,27W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V3.mp3,Kavalan,Kavalan,34,27W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V4.mp3,Kavalan,Kavalan,34,27W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V5.mp3,Kavalan,Kavalan,34,27W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V6.mp3,Kavalan,Kavalan,34,27W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V7.mp3,Kavalan,Kavalan,34,27W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V8.mp3,Kavalan,Kavalan,34,27W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V9.mp3,Kavalan,Kavalan,34,27W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_27_V10.mp3,Kavalan,Kavalan,34,27W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V1.mp3,Kavalan,Kavalan,34,28W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V2.mp3,Kavalan,Kavalan,34,28W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V3.mp3,Kavalan,Kavalan,34,28W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V4.mp3,Kavalan,Kavalan,34,28W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V5.mp3,Kavalan,Kavalan,34,28W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V6.mp3,Kavalan,Kavalan,34,28W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V7.mp3,Kavalan,Kavalan,34,28W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V8.mp3,Kavalan,Kavalan,34,28W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V9.mp3,Kavalan,Kavalan,34,28W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V10.mp3,Kavalan,Kavalan,34,28W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V11.mp3,Kavalan,Kavalan,34,28W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V12.mp3,Kavalan,Kavalan,34,28W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V13.mp3,Kavalan,Kavalan,34,28W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V14.mp3,Kavalan,Kavalan,34,28W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V15.mp3,Kavalan,Kavalan,34,28W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V16.mp3,Kavalan,Kavalan,34,28W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V17.mp3,Kavalan,Kavalan,34,28W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_28_V18.mp3,Kavalan,Kavalan,34,28W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V1.mp3,Kavalan,Kavalan,34,29W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V2.mp3,Kavalan,Kavalan,34,29W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V3.mp3,Kavalan,Kavalan,34,29W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V4.mp3,Kavalan,Kavalan,34,29W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V5.mp3,Kavalan,Kavalan,34,29W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V6.mp3,Kavalan,Kavalan,34,29W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V7.mp3,Kavalan,Kavalan,34,29W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V8.mp3,Kavalan,Kavalan,34,29W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V9.mp3,Kavalan,Kavalan,34,29W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V10.mp3,Kavalan,Kavalan,34,29W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V11.mp3,Kavalan,Kavalan,34,29W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V12.mp3,Kavalan,Kavalan,34,29W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V13.mp3,Kavalan,Kavalan,34,29W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V14.mp3,Kavalan,Kavalan,34,29W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V15.mp3,Kavalan,Kavalan,34,29W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V16.mp3,Kavalan,Kavalan,34,29W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_29_V17.mp3,Kavalan,Kavalan,34,29W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V1.mp3,Kavalan,Kavalan,34,30W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V2.mp3,Kavalan,Kavalan,34,30W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V3.mp3,Kavalan,Kavalan,34,30W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V4.mp3,Kavalan,Kavalan,34,30W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V5.mp3,Kavalan,Kavalan,34,30W_5
