page_index_zero_based,page_number_one_based,printed_page_number,thesis_section,raw_text_path,raw_text_sha256,rendered_image_path,rendered_image_sha256,char_count_pymupdf,char_count_pdfplumber,selected_extraction_method,has_numbered_examples,has_table,has_references,parse_status,parse_warnings
32,33,17,body,data/raw/page_text/page_0033.txt,690894125168fa5dc49f5100c62a4b73d42aa265e38556460650e737101c79ba,data/raw/page_images/page_0033.png,a6c9d6a31854d9a402ae5cea2ad877c73e39c1a18cc5080f161a8635f59e4051,1220,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
33,34,18,body,data/raw/page_text/page_0034.txt,b5df022e8f5b9d968f7afedea6598f426dd6ebeb9dad6e4f593561af79611c5a,data/raw/page_images/page_0034.png,0a83a4f2592fe7e003722417294148179ed34bd05dd32e18c1c7894d7fca951f,984,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
34,35,19,body,data/raw/page_text/page_0035.txt,c6eb3c1f1a513a67cfb4d6643aeb9bdc2bcc308f17a1f1149eb3a6d1ebc9bd34,data/raw/page_images/page_0035.png,65bc372ad13410355369774cf54b0f5f428a2934c4661a3f79d82e28424b4400,1383,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
35,36,20,body,data/raw/page_text/page_0036.txt,43dec1ea85bdef73f5b5f0b4bcf9c9a14dd513c29e74891442ca7404ab6f5bd6,data/raw/page_images/page_0036.png,8bd94f7640aa6900430cc92ba9eaaa15346d45ffd4b16962dc18a2b99a31faf9,1887,5366,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
36,37,21,body,data/raw/page_text/page_0037.txt,6d4d529272140dddee2e1fe66c939afbc7e8ce0ce4a95b965619308e7973496a,data/raw/page_images/page_0037.png,5421060b41d16e12933487f6acdd70c56a8a5582c885d0e707f4023fd5036f75,1000,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
37,38,22,body,data/raw/page_text/page_0038.txt,bf7b532bd31891a9961f6371c47b0da9e9bb2dbc73f14aa8d9e91563b2467f04,data/raw/page_images/page_0038.png,d32e537b90051a6ad66e247f4d06ccc692ea79605994506de87fdd948838cf71,1042,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
38,39,23,body,data/raw/page_text/page_0039.txt,e97dce61e763ba7f2f530f75f85aa4acce8769ea39ba4756e050d28d320ab44c,data/raw/page_images/page_0039.png,8acb2bd7ff350e913e4e6c1ed8647fff257640416b7d4352a123c97270c405a1,1275,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
39,40,24,body,data/raw/page_text/page_0040.txt,d023ef5c8f3dfb187c5c87825ee509d37bbeaaf825529a08b479e8df55681c44,data/raw/page_images/page_0040.png,7a95218935299d9c0f259b53b3b07b291e51f3ae547041dd824faa0aa2d948f2,1144,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
40,41,25,body,data/raw/page_text/page_0041.txt,3a3fad8d4563f2ab672fe86c59ab57169f4c14c7b76fb5e5db97d48165347bb2,data/raw/page_images/page_0041.png,09c57bb24375c5542695384e36069dd63aef550bf11bb8fc534b725c27db8bf8,1071,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
41,42,26,body,data/raw/page_text/page_0042.txt,c9fab5b2c5453166693f0cece350f8545440adaa3716826bd49cbab9ebff6b9a,data/raw/page_images/page_0042.png,d3ebd24984fa5a51fc42aab4b280d2433675d5492ff39d52e664be3ec63d70b2,1305,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
42,43,27,body,data/raw/page_text/page_0043.txt,b969955a13c2e7576c0d511760773d61a3595a5b48828355980ce684c60b9808,data/raw/page_images/page_0043.png,9ac201b441cc98cf0c729f0e5e521fe866f3cb2462bad321e3f52affaf9e9bd7,1306,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
43,44,28,body,data/raw/page_text/page_0044.txt,85ad8ba1f53749327457d1775ebe9aa2f5410429fffd52056b263a05832e4ac8,data/raw/page_images/page_0044.png,1999f86cd72c739e6e49ddb111ae349407fdff6ebae79ffc265d0d723b3a8ca3,1444,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
44,45,29,body,data/raw/page_text/page_0045.txt,9c46372c9f8078c2e5c72c0e98edfabf78fac6f25cf80a0174cc0b2e1905ffc9,data/raw/page_images/page_0045.png,d919da54701d78f4c099d2fb1a4b87c7c03288d8b4256f6b0c42006ed6c0df6b,937,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
45,46,30,body,data/raw/page_text/page_0046.txt,f14ba868938d0d0f15a82c7fc7adaa75e02ea8c8e14df7b777f2c9f7a3db7b24,data/raw/page_images/page_0046.png,4a165667692b5e33eed3f46d444a33d178166d0a893fb5f77a6b2cbbf85dafb6,1191,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
46,47,31,body,data/raw/page_text/page_0047.txt,3147c49370b615d75d2134854f48c7eeb57a46a062870adc9f78755a4bf28135,data/raw/page_images/page_0047.png,b127fda66808f37fb178427980b2faa93a1395e22d489780aa065c729a705541,1173,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
47,48,32,body,data/raw/page_text/page_0048.txt,b92082cee3117ce74ff32dbb17123203ef424a06e02b103ec032dcc9664608dd,data/raw/page_images/page_0048.png,7f1ea01dc81a37460279fabe88a8af5dfd512c9d87840ee42ef139405717bca6,1169,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
48,49,33,body,data/raw/page_text/page_0049.txt,813b2a9307994dc15d8a7922af55a48e3a6a26f634ed07612037ccf658a30b2b,data/raw/page_images/page_0049.png,d0f835c59db1fbeaf036d3816cad219e7946198cbe42d49352157846f4d95654,855,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
49,50,34,body,data/raw/page_text/page_0050.txt,86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef,data/raw/page_images/page_0050.png,9fd632323a7bbf881d15a37069e15ae156d18871548cc2ac9a6d32c7dc0b7a47,2,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
50,51,35,第二章 複合構詞法,data/raw/page_text/page_0051.txt,a549944a0a2dd69413e495097f71b21043506d9259d4151a6f7329545e313340,data/raw/page_images/page_0051.png,f65cbce545be878b5f9ed4f6d6513f3915ed7068697ced28221e117194426618,1385,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
51,52,36,body,data/raw/page_text/page_0052.txt,3c8758443625cb9d42a10dd2bdf4983efd4b6d1715f2fe9a5b38ccedca65cfd5,data/raw/page_images/page_0052.png,655012652bdb6c8b4fcd9b84d031c4ad7098ebb3d2b8e4d6207b22e97710377c,1275,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
52,53,37,body,data/raw/page_text/page_0053.txt,777b2b4709c5724b3580d441ee5da4025639dc2ee58f8658635711efb0b32c70,data/raw/page_images/page_0053.png,9b2c04ca4942244e73ede1b4f14872a12b5fe033733657930b7598e2c6a917d1,1471,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
53,54,38,body,data/raw/page_text/page_0054.txt,63cba56e8bbee4e37949efb7dc2a26ec8919ffd4ae82d37ba53fa10d0b26eef2,data/raw/page_images/page_0054.png,aa561348b7d828302210311c9f92af80e428edb964a61616bde69da237277244,1237,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
54,55,39,body,data/raw/page_text/page_0055.txt,ef8ac02a53d5b476ebf1f208bcc8e7c8689e3094a002e0d1227018353702bbc9,data/raw/page_images/page_0055.png,458fa586f996ef4f61c04b46c6c9d083b043f3398c5aae148843edaca46b843e,904,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
