form	label	definition	cross_reference	headword	homograph	format	root_marker	etymology	sense	inferred	entry_page	sense_page
mapa–parfu	[R]	wrestle with one another standing up, as in sumo; wrestler		parfu		B	bars		2		678	678
mapa–parfu a caw		Thao wrestlers		parfu		B	bars		2a		678	678
mapa–parfu a shput		Chinese wrestlers		parfu		B	bars		2b		678	678
ma–parfu–an	[F/LF]	will wrestle in a place		parfu		B	bars		3		678	678
ma–parfu–rfu	[R/IT]	often wrestle with each other		parfu		B	bars		4		678	678
pa–parfu–an		wrestle with one other		parfu		B	bars		5		678	678
parfu–i	[I]	(don't) wrestle with him		parfu		B	bars		6		678	678
parhaway		young people, youth; be young and in one's prime		parhaway		A					679	679
mim–parhaway	[IC]	become a young adult		parhaway		A			2		679	679
pa–ribuq	[C]	stir	ribuq:8	pa–ribuq		A					679	679
paricpic		bamboo sheath, brown skin-like membrane that peels from the external surface of the stem		paricpic		A					679	679
parimrim		drill a hole		parimrim		A					679	679
marimrim	[AF]	drill a hole in something		parimrim		A			2		679	679
pa–parimrim	[IN]	a drill		parimrim		A			3		679	679
parimrim–i	[I]	(don't) drill a hole in it		parimrim		A			4		679	679
p–in–arimrim–ak	[LF1sc]	I drilled something		parimrim		A			5		679	679
parimrim–an	[LF]	drill a hole in something		parimrim		A			6		679	679
parinaw		scrub something clean		parinaw		A					679	679
marinaw	[AF]	rub off, as dirt from the skin		parinaw		A			2		679	679
parinaw–in	[PF]	be washed by someone		parinaw		A			3		679	679
pari–pupu–ak	[LF1s]	I covered something	pupú:5	pari–pupu–ak		A					679	679
ma–ka–kit–pariqpiq	[IT]	keep making a slow continuous crackling or popping sound, as of burning underbrush or wood that pops and cracks in combustion		pariqpiq		B	bars		2		679	679
makit–pa–pariqpiq	[IT]	fart continuously in short bursts, make a popping or crackling sound		pariqpiq		B	bars		3		679	680
ma–pariqpiq	[S]	crackling, popping		pariqpiq		B	bars		4		679	680
m–in–akit–pa–pariqpiq	[c/IT]	farted continuously in short bursts, popped, crackled		pariqpiq		B	bars		5		679	680
pa–pariqpiq	[IT]	sound of rapid farting		pariqpiq		B	bars		6		679	680
pa–riri	[C]	exchange (goods); replace one thing with another of the same type	riri:9	pa–riri		A					680	680
pariuz		eyelid		pariuz		A					680	680
p–in–uk–pariuz	[c]	had an upturned eyelid (now corrected)		pariuz		A			2		680	680
puk–pariuz		have an upturned eyelid		pariuz		A			3		680	680
shau–pariuz		turn the eyelid inside out		pariuz		A			4		680	680
shau–pariuz–in	[PF]	be turned up (deliberately), of the eyelid		pariuz		A			5		680	680
sh–m–au–pariuz	[AF]	turn up the eyelid		pariuz		A			6		680	680
pa–riway	[C]	let or make something go around an area, take a detour	riway:3	pa–riway		A					680	680
pa–riwir–ak	[LF1s]	I throw something at an object	riwir:2	pa–riwir–ak		A					680	680
pa–riwir–an	[LF]	have something thrown at it	riwir:3	pa–riwir–an		A					680	680
parmuz		dive		parmuz		A					680	680
marmu–rmuz	[AF/IT]	dive repeatedly		parmuz		A			2		680	680
marmuz	[AF]	dive, submerge		parmuz		A			3		680	680
m–in–armuz	[AFc]	dived, submerged		parmuz		A			4		680	680
parshian		taboo, forbidden		parshian		A		(PAN *paliSi–an `taboo')			681	681
paru		to hammer; to punch		paru		A		(PAN *palu `hammer')			681	681
paru sa nipin		traditional ceremony of tooth extraction, performed at puberty to ensure the health and vigor of young adults		paru		A		(PAN *palu `hammer')	1a		681	681
paru–ak	[LF1s]	I hit, will hit		paru		A		(PAN *palu `hammer')	2		681	681
paru–an	[LF]	be hammered; be beaten by someone		paru		A		(PAN *palu `hammer')	3		681	681
paru–i	[I]	(don't) hammer it		paru		A		(PAN *palu `hammer')	4		681	681
paru–paru	[IT]	a hammer; to hammer; the action of ceremonially striking out the teeth		paru		A		(PAN *palu `hammer')	5		681	681
paru–paru sa balis		blacksmith		paru		A		(PAN *palu `hammer')	5a		681	681
paru–paru sa nipin		an expert at tooth extraction		paru		A		(PAN *palu `hammer')	5b		681	681
p–in–aru	[AFc]	was beaten		paru		A		(PAN *palu `hammer')	6		681	681
p–in–aru–an	[LFc]	was hammered; was beaten by someone		paru		A		(PAN *palu `hammer')	7		681	681
parucukay		kind of small clover that is crushed and mixed with salt as a treatment for sore throat		parucukay		A					681	681
paru–paru	[IT]	a hammer; to hammer; the action of ceremonially striking out the teeth	paru:5	paru–paru		A					681	681
Paruqatash		male name (husband of Maya)		Paruqatash		A					681	681
paruru		Elaeocarpus sylvestris (Lour.) Poir., fam. Elaeocarpaceae, a tree of the low altitude broadleaf forest which grows to a height of between 8 and 20 meters. It has yellowish-green to dark green lanceolate leaves which turn golden orange before falling, and white blossoms with brownish-yellow centers. Its fruit turns from green to yellowishblack, and is eaten only by birds		paruru		A					681	681
pa–ruza		boat, canoe; a canoe paddle	ruza:7	pa–ruza		A					682	682
pasaháy		use		pasaháy		A					682	682
masaháy	[AF]	use something to perform an action, use something to achieve some end		pasaháy		A			2		682	682
pasá–n	[LF]	be used for some purpose		pasaháy		A			3		682	682
pasay–i	[I]	(don't) use it!		pasaháy		A			4		682	682
pasahay–ik	[PF1s]	I used		pasaháy		A			5		682	682
pasahay–in	[PF]	be used for something; use it		pasaháy		A			6		682	682
p–in–asahay–in	[PFc]	was used for something		pasaháy		A			7		682	683
pasa–kuskus	[I]	(don't) use your foot or leg	kuskus:4	pasa–kuskus		A					683	683
pa–sansan	[C]	roast; heat by direct exposure to a fire	sansan:2	pa–sansan		A					683	683
pa–sansan–ik	[C/PF1s]	I put something by a fire to warm up or dry out	sansan:3	pa–sansan–ik		A					683	683
pa–sansan–in	[C/PF]	be roasted	sansan:4	pa–sansan–in		A					683	683
pa–saran–an	[C/LF]	make a (paved) path in that place	saran:4	pa–saran–an		A					683	683
pasasunsun		bump up against, as with a copulating motion		pasasunsun		A					683	683
masasunsun	[AF]	copulate (of animals, coarse when used of people)		pasasunsun		A			2		683	683
pasasuqa		scold, quarrel with, argue about		pasasuqa		A					683	683
ma–pasasuqa	[R]	quarrel with each other		pasasuqa		A			2		683	683
masasuqa	[AF]	to quarrel		pasasuqa		A			3		683	684
m–in–asasuqa	[AFc]	quarreled with		pasasuqa		A			4		683	684
pasasuqa	[C]	scold, quarrel with, argue about		pasasuqa		A			5		683	684
pasay–i	[I]	(don't) use it!	pasaháy:4	pasay–i		A					684	684
pash'amu		kind of large round shallow winnowing tray or basket		pash'amu		A					684	684
pash'uzu		phlegm		pash'uzu		A					684	684
mash–'a–'uzu–'uzu	[AF/IT3]	cough up phlegm repeatedly		pash'uzu		A			2		684	684
mash'uzu	[AF]	cough up phlegm from the throat		pash'uzu		A			3		684	684
mash'uzu–'uzu	[AF/IT]	cough up phlegm repeatedly		pash'uzu		A			4		684	684
pash'uzu–an	[LF]	spittoon, place to spit		pash'uzu		A			5		684	684
p–in–ash'uzu	[PFc]	was expectorated, was spit out; what was spit out, phlegm		pash'uzu		A			6		684	684
pasi		ignore		pasi		A					684	684
pasiz–i		(don't) put it back		pasiz		B	bars				684	684
pasiz	[I]	together		pasiz		B	bars		2		684	684
pasiz–in	[PF]	be put back together, of something that has come apart		pasiz		B	bars		3		684	684
p–in–asiz	[PFc]	was put back together		pasiz		B	bars		4		684	684
pasug–kitaz		bow to	kitaz:6	pasug–kitaz		A					684	684
pasug–kitaz–an	[LF]	be bowed to	kitaz:7	pasug–kitaz–an		A					684	684
pasug–kitaz–ik	[PF1s]	I bowed to someone	kitaz:8	pasug–kitaz–ik		A					684	684
pasha–bu–but		do someone oneself (rather than letting someone else do it for you), do for oneself	but:3	pasha–bu–but		A					685	685
pash–afu–an		rice container, container for cooked rice	afu:2	pash–afu–an		A					685	685
pa–shag–qnur a balaba		snap-on clothing	qnur:8	pa–shag–qnur a balaba		A					685	685
pa–shaila	[C]	to act, to perform	shaila:3	pa–shaila		A					685	685
pasha–i–qalhiw		dry something out, as a bird drying its feathers in the sun	qalhiw:6	pasha–i–qalhiw		A					685	685
pashakadaw		(don't) look up		pashakadaw		A					685	685
mashakadaw	[AF]	look upward, turn the head upward to look		pashakadaw		A			2		685	685
m–in–ashakadaw	[c]	looked upward		pashakadaw		A			3		685	685
pash–aki–an		household altar, table with incense bowl and offerings	aki:3	pash–aki–an		A					685	685
pasha–na–tusi		turn to that side over there	tusi:25	pasha–na–tusi		A					685	685
pa–shan–tilhaz		sun oneself	tilhaz:6	pa–shan–tilhaz		A					685	685
pash–apuy–an	[LF]	place where a fire is made	apuy:6	pash–apuy–an		A					685	685
pa–shaqish	[C]	have something sewn for oneself, as clothes 2	shaqish:2	pa–shaqish		A					685	685
pasharizish		let's be head to toe		pasharizish		A					685	685
masharizish		be head to toe, be coming from opposite directions		pasharizish		A			2		685	685
pasha–shaila	[C/IT]	to act, to perform; to pretend	shaila:4	pasha–shaila		A					685	685
pa–shashaw	[C]	chase away, shoo off	shashaw:2	pa–shashaw		A					685	685
pasha–shdu–i		(don't) agree with it	shdu:4	pasha–shdu–i		A					686	686
pasha–talha		contain water, hold water 1	talha:2	pasha–talha		A					686	686
pasha–talhá–n	[LF]	water container made of a hollowed log 1	talha:3	pasha–talhá–n		A					686	686
pasha–taqa	[I]	(don't) lie on your back 1	taqa:5	pasha–taqa		A					686	686
pash–atu–an		dog cage, dog kennel	atu:2	pash–atu–an		A					686	686
pa–shau–bric	[C]	make something heavy or heavier	bric:7	pa–shau–bric		A					686	686
pa–shau–bric–in	[C/PF]	be made heavy or heavier	bric:8	pa–shau–bric–in		A					686	686
pa–shau–na–tusi		to someone or something over there	tusi:26	pa–shau–na–tusi		A					686	686
pash–azazak–an		traditionally, any place where children were kept while their parents went to work in the fields; in recent times: kindergarten	azazak:7	pash–azazak–an		A					686	686
pash–azazak–in	[PF]	care for children, baby-sit	azazak:8	pash–azazak–in		A					686	686
mashbalis	[AF]	to sting, as a bee		pashbalis		B	bars		2		686	686
pashbalis–an	[LF]	be stung, as by a bee or a stinging caterpillar		pashbalis		B	bars		3		686	686
p–in–ashbalis–an	[LFc]	was stung; place that was stung		pashbalis		B	bars		4		686	686
pash–balis	[I]	nail it!	balis:3	pash–balis		A					686	686
pashbalis–an	[LF]	be stung, as by a bee or a stinging caterpillar	pashbalis:3	pashbalis–an		A					686	686
pash–balis–i	[I]	(don't) nail it!	balis:4	pash–balis–i		A					686	686
pash–balis–in	[PF]	be nailed, be driven in, of nails	balis:5	pash–balis–in		A					686	686
pashbara		(don't) wait for it		pashbara		A					686	686
pashbara–i	[I]	(don't) wait for it		pashbara		A			2		686	686
pash–baruku–an	[LF]	basket for storing bowls; cupboard, place where cup and dishes are kept	baruku:2	pash–baruku–an		A					686	686
pash–bukay–an	[LF]	a supporting structure for flowers to climb up, trellis	bukay:4	pash–bukay–an		A					686	686
pash–buná–n	[LF]	place for storing sweet potatoes (sometimes attached to the house, sometimes an independent structure)	buna:2	pash–buná–n		A					686	686
pash–bunaz–an		place for putting sand	bunaz:6	pash–bunaz–an		A					686	686
pash–bzu–an		garbage heap, place where garbage is thrown. Traditionally garbage was dumped in a hole and then burned and covered with ashes. Later it might be used as fertilizer	bzu:2	pash–bzu–an		A					687	687
pash–caqi–an	[LF]	anus; toilet, latrine	caqi:4	pash–caqi–an		A					687	687
pashdagklhin		sit with chin resting on palm		pashdagklhin		A					687	687
mashdagklhin	[AF]	rest the cheek on the palm of the hand supported by the elbow, as someone who is thinking		pashdagklhin		A			2		687	687
pash–diplhaq–an		mud-patch, as one formed by carabaos trampling wet earth; buffalo wallow	diplhaq:6	pash–diplhaq–an		A					687	687
pash–fa–finshiq–an	[LF]	storage area for seed rice, in the middle part of a traditional granary within the pash–pazay–an	finshiq:6	pash–fa–finshiq–an		A					687	687
pash–fafuy–an	[LF]	pigpen, enclosure where pigs are kept	fafuy:2	pash–fafuy–an		A					687	687
pash–farukuz–an	[LF]	place whereladders are kept	farukuz:3	pash–farukuz–an		A					687	687
pash–fatu–an	[LF]	stone-pile, place where stones are piled	fatu:6	pash–fatu–an		A					687	687
pash–filhaq–an	[LF]	be spat upon 2	filhaq:7	pash–filhaq–an		A					687	687
pash–hulus–an	[LF]	clothes closet, wardrobe	hulus:4	pash–hulus–an		A					687	687
pashi–ayaw		embarrassed	ayaw:9	pashi–ayaw		A					687	687
pashi–ca–cawa	[IT]	funny, causing laughter, make someone laugh	cawa:9	pashi–ca–cawa		A					687	687
pashi–caycuy		let them have (something)	caycuy:2	pashi–caycuy		A					687	687
pashi–cicu		give it to him/let him have it (as a disputed seat), let him be, don't interfere with him	cicu:4	pashi–cicu		A					687	687
pashikan		umbrella		pashikan		A					687	687
pashi–karitkit		curly, of hair	karitkit:3	pashi–karitkit		A					688	688
pashi–karitkit–in	[PF]	is being curled, is being permed (of the hair)	karitkit:4	pashi–karitkit–in		A					688	688
pashi–kurin–an	[LF]	dress in the kurin	kurin:3	pashi–kurin–an		A					688	688
pashi–ma–puzi–an		put on something white, wear something white	puzi:7	pashi–ma–puzi–an		A					688	688
pa–shimul	[C]	lend something to someone	shimul:3	pa–shimul		A					688	688
pashi–na–nay		(don't) bring it here	nay:23	pashi–na–nay		A					688	688
pa–shinaw	[C]	wash something, clean something	shinaw:3	pa–shinaw		A					688	688
pashin–tazam		weigh something on a scale	tazam:4	pashin–tazam		A					688	688
pashin–tazam–i	[C/I]	(don't) weigh it	tazam:5	pashin–tazam–i		A					688	688
pashin–taza–tazam	[C/IT]	Chinese hand scale	tazam:6	pashin–taza–tazam		A					688	688
pa–shintirtir	[C/I]	(don't) shiver	shintirtir:4	pa–shintirtir		A					688	688
pashi–qca	[C]	add more to something; move something so as to secure some advantage 3	qca:22	pashi–qca		A					688	688
pashi–qca–i	[I]	(don't) move it	qca 3:23	pashi–qca–i		A					688	688
pashi–sa–salpu		make others feel worried	salpu:8	pashi–sa–salpu		A					688	688
pashi–shka–shkash		frighten	shkash:9	pashi–shka–shkash		A					688	688
pashitalha		in the business of selling things		pashitalha		A					688	688
pashi–talha		collect liquid in a container 1	talha:4	pashi–talha		A					688	688
pashi–talha–i	[I]	(don't) collect it in a container 1	talha:5	pashi–talha–i		A					688	688
pashi–talhá–n	[LF]	be collected in a container, of liquid 1 6	talha:	pashi–talhá–n		A					688	688
pashi–tata–n		the same one 2	tata:6	pashi–tata–n		A					688	688
pashi–utaq		make someone vomit, as through causing disgust	utaq:6	pashi–utaq		A					688	688
pashiwan		change clothes; repeat, do again		pashiwan		A					688	688
mashiwan	[AF]	change clothes		pashiwan		A			2		688	688
mashiwa–shiwan	[AF/IT]	change clothes often or repeatedly		pashiwan		A			3		688	688
m–in–ashiwan	[AFc]	changed clothes		pashiwan		A			4		688	688
pashiwan–an	[LF]	be changed, as clothes; be exchanged for something else		pashiwan		A			5		688	688
pashiwan–i	[I]	(don't) repeat it		pashiwan		A			6		688	689
pa–shizuq	[C]	put around the neck, will put around the neck	shizuq:3	pa–shizuq		A					689	689
pa–shizuq–ak	[C/LF1s]	I put something around the neck	shizuq:4	pa–shizuq–ak		A					689	689
pa–shizuq–an	[C/LF]	put around the neck	shizuq:5	pa–shizuq–an		A					689	689
pa–shkaful	[C]	ask or tell someone to do something	shkaful:3	pa–shkaful		A					689	689
pash–kakulhum–an	[LF]	ant hill, ant nest (alternatively:		pash–kakulhum–an		A					689	689
taun a kakulhum		)	kakulhum:4	pash–kakulhum–an		A					689	689
pash–kalada		cross your legs	kalada:5	pash–kalada		A					689	689
pash–kamar–an		compartment in a traditional granary where millet was stored	kamar:2	pash–kamar–an		A					689	689
pash–kana–kanash	[IT]	(don't) limp when you walk	kanash:3	pash–kana–kanash		A					689	689
pash–kaul–an	[LF]	place to keep a bolo when it is not in use	kaul:2	pash–kaul–an		A					689	689
pash–kawi–an	[LF]	any place where wood is stored	kawi:7	pash–kawi–an		A					689	689
pash–kirpá–n		duck pen or coop, place where ducks are kept	kirpa:4	pash–kirpá–n		A					689	689
pash–lhalhum–an	[LF]	pincushion; place to keep needles	lhalhum:2	pash–lhalhum–an		A					689	689
pash–lhqanizu–an	[LF]	place where mirrors are put	lhqanizu:6	pash–lhqanizu–an		A					689	689
pash–lhufu–an		a place where a bird or chicken broods or sits on eggs	lhufu:8	pash–lhufu–an		A					689	689
pa–shnara	[C]	burn something, as a field	shnara:2	pa–shnara		A					689	689
pa–shnará–k	[C/LF1s]	I set fire to, I burned	shnara:3	pa–shnará–k		A					689	689
pa–shnara–n	[C/PF]	be burned by someone	shnara:4	pa–shnara–n		A					689	689
pa–shnara–nara	[C/IT]	burn something repeatedly, burn over and over	shnara:5	pa–shnara–nara		A					689	689
pash–na–saháy		do something on that thing over there	saháy:28	pash–na–saháy		A					689	689
pash–pazay–an	[LF]	storage area for unthreshed rice stalks in the upper part of a traditional granary	pazay:2	pash–pazay–an		A					689	689
pash–qafu–an	[LF]	ashtray	qafu:4	pash–qafu–an		A					689	689
pash–qalhiw–in	[PF]	be dried, as rice sprouts in preparation for transplanting; be drained, as a rice paddy	qalhiw:7	pash–qalhiw–in		A					689	689
pash–qaricuy–an	[LF]	nest of a chicken or bird; place where a chicken or bird sits on eggs	qaricuy:4	pash–qaricuy–an		A					689	689
pash–qnuan–an		any place where buffaloes are kept, even if they are just tied to a tree (does not imply that they are fenced in)	qnuan:3	pash–qnuan–an		A					690	690
pash–qtilhá–n	[LF]	salt shaker, dispenser for salt	qtilha:2	pash–qtilhá–n		A					690	690
pash–rabu–an	[LF]	place where charcoal is kept (on the ground, with a cover)	rabu:2	pash–rabu–an		A					690	690
pa–shrak–i	[C/I]	let him (a third person) untie it	shrak:3	pa–shrak–i		A					690	690
pash–ranaw–an		chicken coop 1	ranaw:2	pash–ranaw–an		A					690	690
pash–raput–an		escape, as an animal from a trap	raput:3	pash–raput–an		A					690	690
pash–rucun–an		monkey-cage, place where monkeys are kept 2	rucun:	pash–rucun–an		A					690	690
pash–rusaw–an	[LF]	any place where fish are kept, whether a basket for holding fish after they are caught, or a container for live fish	rusaw:5	pash–rusaw–an		A					690	690
pash–ruzá–n	[LF]	place where boats are kept (dock, or area in lake near the shore)	ruza:8	pash–ruzá–n		A					690	690
pash–samuq–in	[PF]	become dewy, covered with dew drops	samuq:2	pash–samuq–in		A					690	690
pash–sazum–an		place where water is stored; section of bamboo, etc. where water is stored, water container	sazum:7	pash–sazum–an		A					690	690
pash–sinay–an		wooden spool for keeping thread	sinay:2	pash–sinay–an		A					690	690
pash–sisi–an	[LF]	goat pen, place to keep goats	sisi:2	pash–sisi–an		A					690	690
pash–shawiki–an	[LF]	a place to keep betel nuts for chewing	shawiki:3	pash–shawiki–an		A					690	690
pash–shqurun–an	[C/LF]	pillow	shqurun:4	pash–shqurun–an		A					690	690
pash–talha–k		I will wait for someone or something 3	talha:9	pash–talha–k		A					690	690
pash–tamaku–an	[LF]	place where cigarettes are kept	tamaku:3	pash–tamaku–an		A					690	690
pash–tan		equal, equally 1	tan:4	pash–tan		A					690	690
mapa–pashtapuq	[R]	toss back and forth, play catch with something		pashtapuq		B	bars		2		690	690
mashtapuq	[AF]	catch, as an object that is thrown, or something that is trying to escape		pashtapuq		B	bars		3		690	690
pashtapuq–ik		I caught		pashtapuq		B	bars		4		690	690
pashtapuq–in	[PF]	be caught by someone		pashtapuq		B	bars		5		690	691
pashtay		everyone, all of the people		pashtay		A					691	691
pash–tici	[C]	let something cool	tici:5	pash–tici		A					691	691
pash–tici–n	[C/PF]	be allowed to cool, be put out to cool	tici:6	pash–tici–n		A					691	691
pash–tiruq		ignite, start a fire; take a picture of someone 3 5	tiruq:	pash–tiruq		A					691	691
pash–tiruq–ak	[LF1s]	I will take your picture 3	tiruq:6	pash–tiruq–ak		A					691	691
pash–tiruq–an	[LF]	be photographed, have one's picture taken 3	tiruq:7	pash–tiruq–an		A					691	691
pash–tiruq–i	[I]	(don't) shine a light on it; (don't) take his picture	tiruq 3:8	pash–tiruq–i		A					691	691
pash–tuali–an	[LF]	bank; piggybank (formerly a bamboo container); cache of money	tuali:3	pash–tuali–an		A					691	691
pash–tubu–an		bladder; chamber pot	tubu:5	pash–tubu–an		A					691	691
pash–tutu		crush something 2	tutu:7	pash–tutu		A					691	691
pash–tutu–an	[LF]	be crushed or pressed down by something heavy 2	tutu:8	pash–tutu–an		A					691	691
pash–tutu–i	[CI]	(don't) crush it 2	tutu:9	pash–tutu–i		A					691	691
pash–tuzá–n	[LF]	kind of wicker eel cage made of kruzi suspended in the water next to a boat and used to keep one's catch alive until returning to shore	tuza:2	pash–tuzá–n		A					691	691
pashubaraz		miss doing some routine activity at the regular time, as eating or sleeping, be overdue for something that one expected to happen earlier		pashubaraz		A					691	691
Pashulan		male name (brother of Kilash, husband of Ali)		Pashulan		A					692	692
pash–ulhzá–n	[LF]	freeze; snowfield, place where there is plenty of snow, be covered with snow	ulhza:5	pash–ulhzá–n		A					692	692
pa–shwal–an	[C/LF]	ask someone to leave so that you can discuss something in private	shwal:4	pa–shwal–an		A					692	692
pa–shwal–i	[I]	(don't) separate from, (don't) divorce	shwal:5	pa–shwal–i		A					692	692
pa–shwal–ik	[PF1s]	I separated, I left	shwal:6	pa–shwal–ik		A					692	692
pa–shwa–shwal–an	[C/IT/LF]	disperse	shwal:7	pa–shwa–shwal–an		A					692	692
pa–shwa–shwal–i		(don't) leave	shwal:8	pa–shwa–shwal–i		A					692	692
pa–shwa–shwal–in	[PF]	be ignored, be kept away or separated from someone	shwal:9	pa–shwa–shwal–in		A					692	692
pashzamuq		kind of winnowing basket		pashzamuq		A					692	692
pa–shzaq	[C]	make something stick or adhere to something else'	shzaq:3	pa–shzaq		A					692	692
pa–shzaq–i	[C/I]	(don't) stick it there	shzaq:4	pa–shzaq–i		A					692	692
pa–shza–shzaq	[IT]	glue, paste	shzaq:5	pa–shza–shzaq		A					692	692
pa–shzaw–an	[C/LF]	be stopped, cease	shzaw:2	pa–shzaw–an		A					692	692
pa–shzup–ak	[C/LF1s]	I cover a wound (as with a medicinal poultice)	shuzup:3	pa–shzup–ak		A					692	692
pa–shzup–an	[C/LF]	cause to be covered over, of a wound	shuzup:4	pa–shzup–an		A					692	692
pat		(see		pat		A		(PAN *Sepat `four')			692	692
shpat		)		pat		A		(PAN *Sepat `four')			692	692
pa–talhtalh	[C]	split something for someone	talhtalh:3	pa–talhtalh		A					692	692
pa–tanalhiwan–in		be steamed	tanalhiwan:2	pa–tanalhiwan–in		A					692	692
pa–ta–na–nay		be put down here	nay:24	pa–ta–na–nay		A					692	692
pa–tana–sahay–in	[PF]	be put over there	saháy:29	pa–tana–sahay–in		A					692	692
pa–tan–lhacaq		drop	lhacaq:9	pa–tan–lhacaq		A					692	692
pataqaz		shoulder pole; carry on a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')			692	692
mataqaz		[AF; F] carry on a shoulder pole; will be carried on a shoulder pole; carry on the shoulder, with or without a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	2		692	692
mataqa–taqaz	[AF/IT]	carry something often or habitually with a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	3		692	693
ma–ta–taqaz	[AF/IT]	carry something often or habitually by shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	4		692	693
pataqa–taqaz	[IT]	shoulder pole, pole for carrying loads balanced on one shoulder		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	5		692	693
pataqaz–an	[LF]	be carried on a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	6		692	693
pataqaz–in	[PF]	be carried on a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	7		692	693
p–in–ataqaz	[PFc]	was carried on a shoulder pole; thing used as a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	8		692	693
p–in–ataqaz–in	[PFc]	was carried on a shoulder pole		pataqaz		A		(PAN *pasaqaN `shoulder pole; carry on a shoulder pole')	9		692	693
pa–ta–qdup	[C]	block the way with something	qdup:3	pa–ta–qdup		A					693	693
patash		write		patash		A		(PAN *pataS `tattoo, make designs')			693	693
matash	[AF]	to write		patash		A		(PAN *pataS `tattoo, make designs')	2		693	693
mata–tash	[AF/IT]	write and write, keep on writing		patash		A		(PAN *pataS `tattoo, make designs')	3		693	693
m–in–atash	[AFc]	wrote		patash		A		(PAN *pataS `tattoo, make designs')	4		693	693
patash–an	[LF]	be written; what is written = letter, book, word		patash		A		(PAN *pataS `tattoo, make designs')	5		693	694
patash–i	[I]	(don't) write it		patash		A		(PAN *pataS `tattoo, make designs')	6		693	694
pata–tash	[IT]	pen, instrument for writing		patash		A		(PAN *pataS `tattoo, make designs')	7		693	694
p–in–atash	[PFc]	was written by someone; words written by someone		patash		A		(PAN *pataS `tattoo, make designs')	8		693	694
p–in–atash–an	[LFc]	was written on, has been written on		patash		A		(PAN *pataS `tattoo, make designs')	9		693	694
p–in–atash–an–an	[LF2c]	has been written down		patash		A		(PAN *pataS `tattoo, make designs')	10		693	694
patashan		carrying bag		patashan		A					694	694
patatara		gossip; be the topic of gossip		patatara		A					694	694
matatara	[AF]	to gossip		patatara		A			2		694	694
ma–ta–tatara		gossip		patatara		A					694	694
patatara	[AF/IT]	about repeatedly, gossip over and over		patatara		A			3		694	694
m–in–atatara		gossiped		patatara		A					694	694
patatara	[AFc]	about		patatara		A			4		694	694
p–in–atatara	[c]	was gossiped about by someone		patatara		A			5		694	694
pata–tash	[IT]	pen, instrument for writing	patash:7	pata–tash		A					694	694
pa–tau–kiwar	[C]	make someone bend something	kiwar:4	pa–tau–kiwar		A					694	694
pa–taupdaq	[C]	stick it, make it stick to something	taupdaq:2	pa–taupdaq		A					694	694
pa–taupdaq–ak		I bind something to a surface	taupdaq:4	pa–taupdaq–ak		A					694	694
pa–taupdaq–an	[C/LF]	bind to a surface, as a medicinal plaster over a wound	taupdaq:3	pa–taupdaq–an		A					695	695
pa–taupdaq–i	[I]	(don't) stick to it, don't cling to it	taupdaq:5	pa–taupdaq–i		A					695	695
patiashaq		dreaming		patiashaq		B	bars				695	695
matiashaq	[AF]	to dream		patiashaq		B	bars		2		695	695
m–in–atiashaq		has dreamt, has been dreaming		patiashaq		B	bars		3		695	695
p–in–atiashaq	[PFc]	was dreamt by someone; what was dreamt, a dream		patiashaq		B	bars		4		695	695
patigkaluzut		to tease, torment		patigkaluzut		A					695	695
patigkaluzut–i	[I]	(don't) tease it		patigkaluzut		A			2		695	695
patigkaluzut–in	[PF]	be teased or tormented by someone		patigkaluzut		A			3		695	695
patig–qaran		enjoy oneself, be happy	qaran:7	patig–qaran		A					695	695
patihaul		a spell, a curse		patihaul		A					695	695
matihaul	[AF]	perform the patihaul ceremony, a form of traditional magic used for good or evil		patihaul		A			2		695	695
matihau–haul	[AF/IT]	perform the actions of a shaman, cast spells on someone		patihaul		A			3		695	695
patihaul–in	[PF]	be subjected to a curse or spell by someone		patihaul		A			4		695	695
p–in–atihaul	[PFc]	had the patihaul ceremony performed for oneself		patihaul		A			5		695	695
patikaran–an	[LF]	spotted or mottled, of the skin of animals (clouded leopard, some snakes, etc.), striped		patikaran		B	bars		2		696	696
patikara–karan–an	[IT/LF]	spotted all over		patikaran		B	bars		3		696	696
pa–tiklhun		to plow	tiklhun:3	pa–tiklhun		A					696	696
pa–tiklhun–an	[LF]	be plowed	tiklhun:4	pa–tiklhun–an		A					696	696
patikrin		woman's beaded headband used when dancing		patikrin		A					696	696
patikrin–an	[LF]	be adorned with a patikrin		patikrin		A			2		696	696
patikrin–in	[PF]	be adorned with a patikrin		patikrin		A			3		696	696
patikrin–an	[LF]	be adorned with a patikrin	patikrin:2	patikrin–an		A					696	696
