id,source_guids,status,note
Amis_01169a54-af0a-f011-bd65-00155db40116,01169a54-af0a-f011-bd65-00155db40116 64179a54-af0a-f011-bd65-00155db40116 65179a54-af0a-f011-bd65-00155db40116 860f9a54-af0a-f011-bd65-00155db40116 ef169a54-af0a-f011-bd65-00155db40116,active,
Amis_0116cb00-af0a-f011-bd65-00155db40116,0116cb00-af0a-f011-bd65-00155db40116,active,
Amis_01179a54-af0a-f011-bd65-00155db40116,01179a54-af0a-f011-bd65-00155db40116 1a169a54-af0a-f011-bd65-00155db40116 9d169a54-af0a-f011-bd65-00155db40116,active,
Amis_0117cb00-af0a-f011-bd65-00155db40116,0117cb00-af0a-f011-bd65-00155db40116,active,
Amis_0118cb00-af0a-f011-bd65-00155db40116,0118cb00-af0a-f011-bd65-00155db40116,active,
Amis_0119cb00-af0a-f011-bd65-00155db40116,0119cb00-af0a-f011-bd65-00155db40116,active,
Amis_011acb00-af0a-f011-bd65-00155db40116,011acb00-af0a-f011-bd65-00155db40116 0443b142-af0a-f011-bd65-00155db40116 7e11cb00-af0a-f011-bd65-00155db40116 d614cb00-af0a-f011-bd65-00155db40116,active,
Amis_011bcb00-af0a-f011-bd65-00155db40116,011bcb00-af0a-f011-bd65-00155db40116 7a16cb00-af0a-f011-bd65-00155db40116,active,
Amis_0132ef0c-af0a-f011-bd65-00155db40116,0132ef0c-af0a-f011-bd65-00155db40116 6c37ef0c-af0a-f011-bd65-00155db40116,active,
Amis_0133ef0c-af0a-f011-bd65-00155db40116,0133ef0c-af0a-f011-bd65-00155db40116 6319cb00-af0a-f011-bd65-00155db40116,active,
Amis_0136ef0c-af0a-f011-bd65-00155db40116,0136ef0c-af0a-f011-bd65-00155db40116,active,
Amis_013eb142-af0a-f011-bd65-00155db40116,013eb142-af0a-f011-bd65-00155db40116,active,
Amis_0140b142-af0a-f011-bd65-00155db40116,0140b142-af0a-f011-bd65-00155db40116 b441b142-af0a-f011-bd65-00155db40116,active,
Amis_0141b142-af0a-f011-bd65-00155db40116,0141b142-af0a-f011-bd65-00155db40116 193eb142-af0a-f011-bd65-00155db40116 4ec9a14e-af0a-f011-bd65-00155db40116,active,
Amis_0143b142-af0a-f011-bd65-00155db40116,0143b142-af0a-f011-bd65-00155db40116 7135ef0c-af0a-f011-bd65-00155db40116,active,
Amis_0144b142-af0a-f011-bd65-00155db40116,0144b142-af0a-f011-bd65-00155db40116 0e43b142-af0a-f011-bd65-00155db40116 e95bc306-af0a-f011-bd65-00155db40116,active,
Amis_01450e56-6ed8-07aa-4b74-3a1be6f415ed,01450e56-6ed8-07aa-4b74-3a1be6f415ed,active,
Amis_0149e968-8e33-f011-8fad-000d3a8250a0,0149e968-8e33-f011-8fad-000d3a8250a0,active,
Amis_0157c306-af0a-f011-bd65-00155db40116,0157c306-af0a-f011-bd65-00155db40116 13dbd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_0158c306-af0a-f011-bd65-00155db40116,0158c306-af0a-f011-bd65-00155db40116,active,
Amis_0159c306-af0a-f011-bd65-00155db40116,0159c306-af0a-f011-bd65-00155db40116 c2dbd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_015ac306-af0a-f011-bd65-00155db40116,015ac306-af0a-f011-bd65-00155db40116,active,
Amis_015bc306-af0a-f011-bd65-00155db40116,015bc306-af0a-f011-bd65-00155db40116 f61acb00-af0a-f011-bd65-00155db40116,active,
Amis_015cc306-af0a-f011-bd65-00155db40116,015cc306-af0a-f011-bd65-00155db40116,active,
Amis_015ec306-af0a-f011-bd65-00155db40116,015ec306-af0a-f011-bd65-00155db40116,active,
Amis_0160c306-af0a-f011-bd65-00155db40116,0160c306-af0a-f011-bd65-00155db40116,active,
Amis_0181a948-af0a-f011-bd65-00155db40116,0181a948-af0a-f011-bd65-00155db40116,active,
Amis_0182a948-af0a-f011-bd65-00155db40116,0182a948-af0a-f011-bd65-00155db40116 3e31ef0c-af0a-f011-bd65-00155db40116,active,
Amis_0183a948-af0a-f011-bd65-00155db40116,0183a948-af0a-f011-bd65-00155db40116,active,
Amis_0184a948-af0a-f011-bd65-00155db40116,0184a948-af0a-f011-bd65-00155db40116 e842b142-af0a-f011-bd65-00155db40116,active,
Amis_0185a948-af0a-f011-bd65-00155db40116,0185a948-af0a-f011-bd65-00155db40116,active,
Amis_0187a948-af0a-f011-bd65-00155db40116,0187a948-af0a-f011-bd65-00155db40116,active,
Amis_01c8a14e-af0a-f011-bd65-00155db40116,01c8a14e-af0a-f011-bd65-00155db40116,active,
Amis_01caa14e-af0a-f011-bd65-00155db40116,01caa14e-af0a-f011-bd65-00155db40116 68d9d0fa-ae0a-f011-bd65-00155db40116,active,
Amis_01cda14e-af0a-f011-bd65-00155db40116,01cda14e-af0a-f011-bd65-00155db40116,active,
Amis_01cfa14e-af0a-f011-bd65-00155db40116,01cfa14e-af0a-f011-bd65-00155db40116 d435ef0c-af0a-f011-bd65-00155db40116,active,
Amis_01d8d0fa-ae0a-f011-bd65-00155db40116,01d8d0fa-ae0a-f011-bd65-00155db40116,active,
Amis_01d9d0fa-ae0a-f011-bd65-00155db40116,01d9d0fa-ae0a-f011-bd65-00155db40116,active,
Amis_01dad0fa-ae0a-f011-bd65-00155db40116,01dad0fa-ae0a-f011-bd65-00155db40116,active,
Amis_01dbd0fa-ae0a-f011-bd65-00155db40116,01dbd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_01e3e712-af0a-f011-bd65-00155db40116,01e3e712-af0a-f011-bd65-00155db40116,active,
Amis_0203b93c-af0a-f011-bd65-00155db40116,0203b93c-af0a-f011-bd65-00155db40116,active,
Amis_02046872-a130-f011-8fad-000d3a8250a0,02046872-a130-f011-8fad-000d3a8250a0,active,
Amis_02109a54-af0a-f011-bd65-00155db40116,02109a54-af0a-f011-bd65-00155db40116 83149a54-af0a-f011-bd65-00155db40116,active,
Amis_0210cb00-af0a-f011-bd65-00155db40116,0210cb00-af0a-f011-bd65-00155db40116,active,
Amis_0211cb00-af0a-f011-bd65-00155db40116,0211cb00-af0a-f011-bd65-00155db40116 5340b142-af0a-f011-bd65-00155db40116,active,
Amis_0212cb00-af0a-f011-bd65-00155db40116,0212cb00-af0a-f011-bd65-00155db40116,active,
Amis_0213cb00-af0a-f011-bd65-00155db40116,0213cb00-af0a-f011-bd65-00155db40116 2b5fc306-af0a-f011-bd65-00155db40116 7282a948-af0a-f011-bd65-00155db40116,active,
Amis_02149a54-af0a-f011-bd65-00155db40116,02149a54-af0a-f011-bd65-00155db40116 200f9a54-af0a-f011-bd65-00155db40116 eb159a54-af0a-f011-bd65-00155db40116,active,
Amis_0214cb00-af0a-f011-bd65-00155db40116,0214cb00-af0a-f011-bd65-00155db40116,active,
Amis_02159a54-af0a-f011-bd65-00155db40116,02159a54-af0a-f011-bd65-00155db40116 04149a54-af0a-f011-bd65-00155db40116 68169a54-af0a-f011-bd65-00155db40116,active,
Amis_0215cb00-af0a-f011-bd65-00155db40116,0215cb00-af0a-f011-bd65-00155db40116,active,
Amis_02169a54-af0a-f011-bd65-00155db40116,02169a54-af0a-f011-bd65-00155db40116 4c159a54-af0a-f011-bd65-00155db40116,active,
Amis_0216cb00-af0a-f011-bd65-00155db40116,0216cb00-af0a-f011-bd65-00155db40116,active,
Amis_02179a54-af0a-f011-bd65-00155db40116,02179a54-af0a-f011-bd65-00155db40116 1b169a54-af0a-f011-bd65-00155db40116 57149a54-af0a-f011-bd65-00155db40116 7d149a54-af0a-f011-bd65-00155db40116 980e9a54-af0a-f011-bd65-00155db40116 b6119a54-af0a-f011-bd65-00155db40116 d9cea14e-af0a-f011-bd65-00155db40116,active,
Amis_0218cb00-af0a-f011-bd65-00155db40116,0218cb00-af0a-f011-bd65-00155db40116,active,
Amis_0219cb00-af0a-f011-bd65-00155db40116,0219cb00-af0a-f011-bd65-00155db40116,active,
Amis_021acb00-af0a-f011-bd65-00155db40116,021acb00-af0a-f011-bd65-00155db40116 ad0fcb00-af0a-f011-bd65-00155db40116,active,
Amis_021bcb00-af0a-f011-bd65-00155db40116,021bcb00-af0a-f011-bd65-00155db40116,active,
Amis_0232ef0c-af0a-f011-bd65-00155db40116,0232ef0c-af0a-f011-bd65-00155db40116 4740b142-af0a-f011-bd65-00155db40116 a433ef0c-af0a-f011-bd65-00155db40116 fe43b142-af0a-f011-bd65-00155db40116,active,
Amis_0233ef0c-af0a-f011-bd65-00155db40116,0233ef0c-af0a-f011-bd65-00155db40116 455bc306-af0a-f011-bd65-00155db40116,active,
Amis_0236ef0c-af0a-f011-bd65-00155db40116,0236ef0c-af0a-f011-bd65-00155db40116,active,
Amis_023eb142-af0a-f011-bd65-00155db40116,023eb142-af0a-f011-bd65-00155db40116 763cb142-af0a-f011-bd65-00155db40116,active,
Amis_0240b142-af0a-f011-bd65-00155db40116,0240b142-af0a-f011-bd65-00155db40116 5b02b93c-af0a-f011-bd65-00155db40116,active,
Amis_0241b142-af0a-f011-bd65-00155db40116,0241b142-af0a-f011-bd65-00155db40116,active,
Amis_0243b142-af0a-f011-bd65-00155db40116,0243b142-af0a-f011-bd65-00155db40116 0c57c306-af0a-f011-bd65-00155db40116 d357c306-af0a-f011-bd65-00155db40116,active,
Amis_0244b142-af0a-f011-bd65-00155db40116,0244b142-af0a-f011-bd65-00155db40116,active,
Amis_02473c9e-8a33-f011-8fad-000d3a8250a0,02473c9e-8a33-f011-8fad-000d3a8250a0,active,
Amis_02483c9e-8a33-f011-8fad-000d3a8250a0,02483c9e-8a33-f011-8fad-000d3a8250a0,active,
Amis_0257c306-af0a-f011-bd65-00155db40116,0257c306-af0a-f011-bd65-00155db40116 1d57c306-af0a-f011-bd65-00155db40116 7cdad0fa-ae0a-f011-bd65-00155db40116,active,
Amis_0258c306-af0a-f011-bd65-00155db40116,0258c306-af0a-f011-bd65-00155db40116,active,
Amis_0259c306-af0a-f011-bd65-00155db40116,0259c306-af0a-f011-bd65-00155db40116 34dbd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_025ac306-af0a-f011-bd65-00155db40116,025ac306-af0a-f011-bd65-00155db40116,active,
Amis_025bc306-af0a-f011-bd65-00155db40116,025bc306-af0a-f011-bd65-00155db40116,active,
Amis_025cc306-af0a-f011-bd65-00155db40116,025cc306-af0a-f011-bd65-00155db40116,active,
Amis_025ec306-af0a-f011-bd65-00155db40116,025ec306-af0a-f011-bd65-00155db40116 3a60c306-af0a-f011-bd65-00155db40116 c483a948-af0a-f011-bd65-00155db40116,active,
Amis_0260c306-af0a-f011-bd65-00155db40116,0260c306-af0a-f011-bd65-00155db40116,active,
Amis_0281a948-af0a-f011-bd65-00155db40116,0281a948-af0a-f011-bd65-00155db40116 4642b142-af0a-f011-bd65-00155db40116,active,
Amis_0282a948-af0a-f011-bd65-00155db40116,0282a948-af0a-f011-bd65-00155db40116 a716cb00-af0a-f011-bd65-00155db40116,active,
