source_s_id	output_s_ids	status	reason
S411_1	S411_1	included	source_record_preserved
S410_1	S410_1	included	source_record_preserved
S409_1	S409_1	included	source_record_preserved
S408_1	S408_1	included	source_record_preserved
S407_1	S407_1	included	source_record_preserved
S406_1	S406_1	included	source_record_preserved
S405_1	S405_1	included	source_record_preserved
S404_1	S404_1	included	source_record_preserved
S403_1	S403_1	included	source_record_preserved
S402_1	S402_1	included	source_record_preserved
S401_1	S401_1	included	source_record_preserved
S400_1	S400_1	included	source_record_preserved
S399_1	S399_1	included	source_record_preserved
S398_1	S398_1	included	source_record_preserved
S397_1	S397_1	included	source_record_preserved
S396_1	S396_1	included	source_record_preserved
S395_1	S395_1	included	source_record_preserved
S394_1	S394_1	included	source_record_preserved
S393_1	S393_1	included	source_record_preserved
S392_1	S392_1	included	source_record_preserved
S391_1	S391_1	included	source_record_preserved
S390_1	S390_1	included	source_record_preserved
S389_1	S389_1	included	source_record_preserved
S388_1	S388_1	included	source_record_preserved
S387_1	S387_1	included	source_record_preserved
S386_1	S386_1	included	source_record_preserved
S385_1	S385_1	included	source_record_preserved
S384_1	S384_1	included	source_record_preserved
S383_1	S383_1	included	source_record_preserved
S382_1	S382_1	included	source_record_preserved
S381_1	S381_1	included	source_record_preserved
S380_1	S380_1	included	source_record_preserved
S379_1	S379_1	included	source_record_preserved
S378_1	S378_1	included	source_record_preserved
S377_1	S377_1	included	source_record_preserved
S376_1	S376_1	included	source_record_preserved
S375_1	S375_1	included	source_record_preserved
S374_1	S374_1	included	source_record_preserved
S373_1	S373_1	included	source_record_preserved
S372_1	S372_1	included	source_record_preserved
S371_1	S371_1	included	source_record_preserved
S370_1	S370_1	included	source_record_preserved
S369_1	S369_1	included	source_record_preserved
S368_1	S368_1	included	source_record_preserved
S367_1	S367_1	included	source_record_preserved
S366_1	S366_1	included	source_record_preserved
S365_1	S365_1	included	source_record_preserved
S364_1	S364_1	included	source_record_preserved
S363_1	S363_1	included	source_record_preserved
S362_1	S362_1	included	source_record_preserved
S361_1	S361_1	included	source_record_preserved
S360_1	S360_1	included	source_record_preserved
S359_1	S359_1	included	source_record_preserved
S358_1	S358_1	included	source_record_preserved
S357_1	S357_1	included	source_record_preserved
S356_1	S356_1	included	source_record_preserved
S355_1	S355_1	included	source_record_preserved
S354_1	S354_1	included	source_record_preserved
S353_1	S353_1	included	source_record_preserved
S352_1	S352_1	included	source_record_preserved
S351_1	S351_1	included	source_record_preserved
S350_1	S350_1	included	source_record_preserved
S349_1	S349_1	included	source_record_preserved
S348_1	S348_1	included	source_record_preserved
S347_1	S347_1	included	source_record_preserved
S346_1	S346_1	included	source_record_preserved
S345_1	S345_1	included	source_record_preserved
S344_1	S344_1	included	source_record_preserved
S343_1	S343_1	included	source_record_preserved
S342_1	S342_1	included	source_record_preserved
S341_1	S341_1	included	source_record_preserved
S340_1	S340_1	included	source_record_preserved
S339_1	S339_1	included	source_record_preserved
S338_1	S338_1	included	source_record_preserved
S337_1	S337_1	included	source_record_preserved
S336_1	S336_1	included	source_record_preserved
S335_1	S335_1	included	source_record_preserved
S334_1	S334_1	included	source_record_preserved
S333_1	S333_1	included	source_record_preserved
S332_1	S332_1	included	source_record_preserved
S331_1	S331_1	included	source_record_preserved
S330_1	S330_1	included	source_record_preserved
S329_1	S329_1	included	source_record_preserved
S328_1	S328_1	included	source_record_preserved
S327_1	S327_1	included	source_record_preserved
S326_1	S326_1	included	source_record_preserved
S325_1	S325_1	included	source_record_preserved
S324_1	S324_1	included	source_record_preserved
S323_1	S323_1	included	source_record_preserved
S322_1	S322_1	included	source_record_preserved
S320_1	S320_1	included	source_record_preserved
S321_1	S321_1	included	source_record_preserved
S319_1	S319_1	included	source_record_preserved
S318_1	S318_1	included	source_record_preserved
S317_1	S317_1	included	source_record_preserved
S316_1	S316_1	included	source_record_preserved
S315_1	S315_1	included	source_record_preserved
S314_1	S314_1	included	source_record_preserved
S313_1	S313_1	included	source_record_preserved
S312_1	S312_1	included	source_record_preserved
S311_1	S311_1	included	source_record_preserved
S310_1	S310_1	included	source_record_preserved
S309_1	S309_1	included	source_record_preserved
S308_1	S308_1	included	source_record_preserved
S307_1	S307_1	included	source_record_preserved
S306_1	S306_1	included	source_record_preserved
