file,text_id,retained,retained_id,canonical_title,original_sha256,source_titles,evidence,reason
Sakizaya/uciya.xml,Wiki_Sakizaya_uciya,Sakizaya/ucya.xml,Wiki_Sakizaya_ucya,ucya,e4303c6e54206c21e8840607733625655fa7a4a21130ea1fe7663df8e1742c7a,uciya,https://szy.wikipedia.org/w/index.php?oldid=96704 | https://szy.wikipedia.org/w/index.php?oldid=96703,The pre-scrape source title redirects to the same retained article
Sakizaya/ya_nisangaan_nu_tademaway_sipunuay_sakaytinengan_a_bunac(人造衛星）.xml,Wiki_Sakizaya_ya_nisangaan_nu_tademaway_sipunuay_sakaytinengan_a_bunac(人造衛星）,Sakizaya/ya_nisangaan_nu_tademaway_sipunuay_sakaytinengan_a_bunac.xml,Wiki_Sakizaya_ya_nisangaan_nu_tademaway_sipunuay_sakaytinengan_a_bunac,ya nisangaan nu tademaway sipunuay sakaytinengan a bunac,fcee21d24c1959e790878141d64ae91f7a10e5fb3c60bf4c6d039b7fb4c326c8,ya nisangaan nu tademaway sipunuay sakaytinengan a bunac(人造衛星）,https://szy.wikipedia.org/w/index.php?oldid=84282 | https://szy.wikipedia.org/w/index.php?oldid=94856,The pre-scrape source title redirects to the same retained article
Sakizaya/ya_waluay_masakaputay_midebungay_tu_Hulamay_ya_(_八國聯軍_）hananay.xml,Wiki_Sakizaya_ya_waluay_masakaputay_midebungay_tu_Hulamay_ya_(_八國聯軍_）hananay,Sakizaya/ya_waluay_masakaputay_midebungay_tu_Hulamay_ya_(八國聯軍)_hananay.xml,Wiki_Sakizaya_ya_waluay_masakaputay_midebungay_tu_Hulamay_ya_(八國聯軍)_hananay,ya waluay masakaputay midebungay tu Hulamay ya (八國聯軍) hananay,a3d5113097fd688cb354a2d1f31a9401071279aa95a8b4a0607a8d4b7de5fd11,ya waluay masakaputay midebungay tu Hulamay ya ( 八國聯軍 ）hananay,https://szy.wikipedia.org/w/index.php?oldid=84328 | https://szy.wikipedia.org/w/index.php?oldid=128556,The pre-scrape source title redirects to the same retained article
Sakizaya/‘Syabutay.xml,Wiki_Sakizaya_‘Syabutay,Sakizaya/’Syabutay.xml,Wiki_Sakizaya_’Syabutay,’Syabutay,20485ee76cf6a087a6a6fec9d6e2e77e639400e18b4f2387eb28561cd7a6fc52,‘Syabutay,https://szy.wikipedia.org/w/index.php?oldid=84506 | https://szy.wikipedia.org/w/index.php?oldid=133384,The pre-scrape source title redirects to the same retained article
"Seediq/Albert_II,_Prince_of_Monaco.xml","Wiki_Seediq_Albert_II,_Prince_of_Monaco",Seediq/Albert_II.xml,Wiki_Seediq_Albert_II,Albert II,aa975d9efb73bef720436317759197da3ed0d7a5125bae6672164a7d5a13cf88,"Albert II, Prince of Monaco",https://trv.wikipedia.org/w/index.php?oldid=814 | https://trv.wikipedia.org/w/index.php?oldid=108178,The pre-scrape source title redirects to the same retained article
Seediq/United_States.xml,Wiki_Seediq_United_States,Seediq/Amirika.xml,Wiki_Seediq_Amirika,Amirika,f48d5645f86f682440f46d7cf3bba0d2162d09e39d51c27c7a78feee3c201a6a,United States,https://trv.wikipedia.org/w/index.php?oldid=89780 | https://trv.wikipedia.org/w/index.php?oldid=103700,The pre-scrape source title redirects to the same retained article
Seediq/Qlupas.xml,Wiki_Seediq_Qlupas,Seediq/Aring.xml,Wiki_Seediq_Aring,Aring,012fe5e3b8f3bf02210d06c0cf5f0dcd4f16437e591ce480fb73bc9868cacc90,Qlupas,https://trv.wikipedia.org/w/index.php?oldid=38938 | https://trv.wikipedia.org/w/index.php?oldid=105716,The pre-scrape source title redirects to the same retained article
Seediq/Masaq.xml,Wiki_Seediq_Masaq,Seediq/Baciq.xml,Wiki_Seediq_Baciq,Baciq,0a61b799699116be3501b05206d7d33b4a49d61287b185489f43a838696b6389,Masaq,https://trv.wikipedia.org/w/index.php?oldid=34077 | https://trv.wikipedia.org/w/index.php?oldid=3778,The pre-scrape source title redirects to the same retained article
Seediq/Basaw.xml,Wiki_Seediq_Basaw,Seediq/Baso.xml,Wiki_Seediq_Baso,Baso,c40a79a494d5b6ce378b6a6d87dfb8f871e977b734b8d352e974afe57ba4e1d6,Basaw,https://trv.wikipedia.org/w/index.php?oldid=4837 | https://trv.wikipedia.org/w/index.php?oldid=95702,The pre-scrape source title redirects to the same retained article
Seediq/Betun.xml,Wiki_Seediq_Betun,Seediq/Btraw.xml,Wiki_Seediq_Btraw,Btraw,4300111c57b044539ee7fb0b8356c74226589bf0da329bbdb077febb1c1b17b5,Betun,https://trv.wikipedia.org/w/index.php?oldid=7763 | https://trv.wikipedia.org/w/index.php?oldid=9558,The pre-scrape source title redirects to the same retained article
