rule,file,text_id,s_id,original_sha256,marker,count
V129,Amis/Cengo'_no_naniwac.xml,Wiki_Amis_Cengo'_no_naniwac,0,aa1f59edd66b8cc09c582c5893d16b5dbaa3b3e6bfb56c6bfb894a6b1c0cdf38,*,1
V129,Amis/Croatia.xml,Wiki_Amis_Croatia,0,1dcadd5a831a43be6624632b63fba406ed86b1e75fc423cebc986d50caf27a1f,*,3
V129,Amis/Facidol.xml,Wiki_Amis_Facidol,0,d40e81379b9e900ac146fed7280c7cb8d2f4fed9a035b85f2201b0a3f8cb53e3,*,2
V129,Atayal/Gpho_go.xml,Wiki_Atayal_Gpho_go,0,a8fc54fa2d32835bfa7354eb638a36c184a325b2c69cd3aa7eeaa44bdc5613cf,*,3
V129,Atayal/Gphogo.xml,Wiki_Atayal_Gphogo,0,a8fc54fa2d32835bfa7354eb638a36c184a325b2c69cd3aa7eeaa44bdc5613cf,*,3
V129,Atayal/Hori.xml,Wiki_Atayal_Hori,0,bc50c76644c00725c439bef39c486c503e9c7a4cd73618e85b67eab854d52894,*,1
V129,Atayal/kperay.xml,Wiki_Atayal_kperay,0,51a2483dece1f2ad19534a0ebeba11b70f9f4251ce474a1d4fc6ae1f0fa76d38,*,1
V129,Atayal/qalang_Helan_玉蘭部落.xml,Wiki_Atayal_qalang_Helan_玉蘭部落,0,f9965b9c76d5bf591f30b1111c98ac53cfe6ab2ec20877caa8010a65d32fa174,*,2
V129,Atayal/tmayan.xml,Wiki_Atayal_tmayan,0,51a2483dece1f2ad19534a0ebeba11b70f9f4251ce474a1d4fc6ae1f0fa76d38,*,1
V129,Sakizaya/He-ney-se.xml,Wiki_Sakizaya_He-ney-se,0,91c2cce7211e60ad8e790c2392b15cb65e6e5cc1bf4e62f05eaa6d98072a7450,*,2
V129,Sakizaya/Japan.xml,Wiki_Sakizaya_Japan,0,b04250bdbf505f2c100ccf84d64a61fdd113204496db5034239f0f46a27566b1,*,2
V129,Sakizaya/Song_Yun_Hua.xml,Wiki_Sakizaya_Song_Yun_Hua,0,c66413aa8404640f351794b49b069a7e1d1c4f42983d40dc5dd8f8acad2433fa,*,1
V129,Sakizaya/TOYOTA_kazizeng_a_kusi.xml,Wiki_Sakizaya_TOYOTA_kazizeng_a_kusi,0,2678773edf0794bd397aeeebe10df493462f3e49196ccd55f533a100348b5899,*,2
V129,Sakizaya/Taynan_Pingtung_mibetik_a_kawaw_20180707.xml,Wiki_Sakizaya_Taynan_Pingtung_mibetik_a_kawaw_20180707,0,5ae25d8eefcb6a30998a00d4791251787eb50dd0b79bb619df975600b7fd77fd,*,2
V129,Sakizaya/hinangelungelu’ay_a_imelang.xml,Wiki_Sakizaya_hinangelungelu’ay_a_imelang,0,4a09431ca6f5bcc1718994da0a3bb0e60f483ee76365ba4028cba295f7c92ec8,*,1
V129,Sakizaya/nu_Taywanay_ya_masabalatay_lumeniay_a_bayu.xml,Wiki_Sakizaya_nu_Taywanay_ya_masabalatay_lumeniay_a_bayu,0,9189ff7edbb96db524ce95a8463c614cd03c3ef692e7f98ab03a7f25b4a07ecf,*,2
