level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	29	0	0	0	370.559990	197.923487	42.044436	10.247634	-1	###LINE###
5	1	29	0	0	0	370.56	197.92	14.14	10.25	100	God
5	1	29	0	0	1	386.60	197.92	11.40	10.25	100	the
5	1	29	0	0	2	399.91	197.92	12.70	10.25	100	Son
3	1	30	0	0	0	453.599991	197.923487	3.796664	10.247634	-1	###FLOW###
4	1	30	0	0	0	453.599991	197.923487	3.796664	10.247634	-1	###LINE###
5	1	30	0	0	0	453.60	197.92	3.80	10.25	100	y
3	1	31	0	0	0	514.800018	197.923487	13.893104	10.247634	-1	###FLOW###
4	1	31	0	0	0	514.800018	197.923487	13.893104	10.247634	-1	###LINE###
5	1	31	0	0	0	514.80	197.92	13.89	10.25	100	alak
3	1	32	0	0	0	74.879997	221.203493	51.807184	10.247634	-1	###FLOW###
4	1	32	0	0	0	74.879997	221.203493	51.807184	10.247634	-1	###LINE###
5	1	32	0	0	0	74.88	221.20	17.12	10.25	100	Deus
5	1	32	0	0	1	93.81	221.20	24.88	10.25	100	spiritus
5	1	32	0	0	2	120.59	221.20	6.10	10.25	100	S:
3	1	33	0	0	0	147.240005	221.203493	53.716377	10.247634	-1	###FLOW###
4	1	33	0	0	0	147.240005	221.203493	53.716377	10.247634	-1	###LINE###
5	1	33	0	0	0	147.24	221.20	14.14	10.25	100	God
5	1	33	0	0	1	163.28	221.20	8.59	10.25	100	de
5	1	33	0	0	2	173.88	221.20	6.66	10.25	100	h:
5	1	33	0	0	3	182.55	221.20	18.40	10.25	100	geest
3	1	34	0	0	0	222.480011	221.203493	53.716377	10.247634	-1	###FLOW###
4	1	34	0	0	0	222.480011	221.203493	53.716377	10.247634	-1	###LINE###
5	1	34	0	0	0	222.48	221.20	14.14	10.25	100	God
5	1	34	0	0	1	238.52	221.20	8.59	10.25	100	de
5	1	34	0	0	2	249.12	221.20	6.66	10.25	100	h:
5	1	34	0	0	3	257.79	221.20	18.40	10.25	100	geest
3	1	35	0	0	0	288.599991	221.203493	51.807184	10.247634	-1	###FLOW###
4	1	35	0	0	0	288.599991	221.203493	51.807184	10.247634	-1	###LINE###
5	1	35	0	0	0	288.60	221.20	17.12	10.25	100	Deus
5	1	35	0	0	1	307.53	221.20	24.88	10.25	100	spiritus
5	1	35	0	0	2	334.31	221.20	6.10	10.25	100	S:
3	1	36	0	0	0	370.559990	221.203493	66.989871	10.247634	-1	###FLOW###
4	1	36	0	0	0	370.559990	221.203493	66.989871	10.247634	-1	###LINE###
5	1	36	0	0	0	370.56	221.20	14.14	10.25	100	God
5	1	36	0	0	1	386.60	221.20	11.40	10.25	100	the
5	1	36	0	0	2	399.91	221.20	15.45	10.25	100	Holy
5	1	36	0	0	3	417.32	221.20	20.23	10.25	100	Ghost
3	1	37	0	0	0	453.599991	221.203493	43.805125	10.247634	-1	###FLOW###
4	1	37	0	0	0	453.599991	221.203493	43.805125	10.247634	-1	###LINE###
5	1	37	0	0	0	453.60	221.20	17.12	10.25	100	Deus
5	1	37	0	0	1	472.53	221.20	24.88	10.25	100	spiritus
3	1	38	0	0	0	514.800018	221.203493	2.570308	10.247634	-1	###FLOW###
4	1	38	0	0	0	514.800018	221.203493	2.570308	10.247634	-1	###LINE###
5	1	38	0	0	0	514.80	221.20	2.57	10.25	100	-
3	1	39	0	0	0	74.879997	243.523477	36.242770	21.407638	-1	###FLOW###
4	1	39	0	0	0	74.879997	243.523477	36.242770	10.247634	-1	###LINE###
5	1	39	0	0	0	74.88	243.52	24.21	10.25	100	Jehova
5	1	39	0	0	1	101.04	243.52	10.08	10.25	100	oft
4	1	39	0	1	0	74.879997	254.683481	34.567850	10.247634	-1	###LINE###
5	1	39	0	1	0	74.88	254.68	34.57	10.25	100	meisisang
3	1	40	0	0	0	147.240005	243.523477	31.256465	10.247634	-1	###FLOW###
4	1	40	0	0	0	147.240005	243.523477	31.256465	10.247634	-1	###LINE###
5	1	40	0	0	0	147.24	243.52	8.59	10.25	100	de
5	1	40	0	0	1	157.73	243.52	20.77	10.25	100	Heere
3	1	41	0	0	0	222.452100	243.523477	31.349485	10.247634	-1	###FLOW###
4	1	41	0	0	0	222.452100	243.523477	31.349485	10.247634	-1	###LINE###
5	1	41	0	0	0	222.45	243.52	8.59	10.25	100	de
5	1	41	0	0	1	233.05	243.52	20.75	10.25	100	Heere
3	1	42	0	0	0	288.601542	243.523477	70.875094	10.247634	-1	###FLOW###
4	1	42	0	0	0	288.601542	243.523477	70.875094	10.247634	-1	###LINE###
5	1	42	0	0	0	288.60	243.52	23.57	10.25	100	Jehova
5	1	42	0	0	1	314.17	243.52	9.75	10.25	100	oft
5	1	42	0	0	2	325.78	243.52	33.70	10.25	100	meisisang
3	1	43	0	0	0	370.564240	243.523477	67.726683	10.247634	-1	###FLOW###
4	1	43	0	0	0	370.564240	243.523477	67.726683	10.247634	-1	###LINE###
5	1	43	0	0	0	370.56	243.52	28.05	10.25	100	Jehovah
5	1	43	0	0	1	400.52	243.52	7.35	10.25	100	or
5	1	43	0	0	2	409.78	243.52	11.36	10.25	100	the
5	1	43	0	0	3	423.15	243.52	15.14	10.25	100	Lord
3	1	44	0	0	0	453.620375	243.523477	3.796664	10.247634	-1	###FLOW###
4	1	44	0	0	0	453.620375	243.523477	3.796664	10.247634	-1	###LINE###
5	1	44	0	0	0	453.62	243.52	3.80	10.25	100	y
3	1	45	0	0	0	514.770191	243.523477	30.606079	10.247634	-1	###FLOW###
4	1	45	0	0	0	514.770191	243.523477	30.606079	10.247634	-1	###LINE###
5	1	45	0	0	0	514.77	243.52	30.61	10.25	100	ma-irang
3	1	46	0	0	0	74.879997	277.003489	22.917269	10.247634	-1	###FLOW###
4	1	46	0	0	0	74.879997	277.003489	22.917269	10.247634	-1	###LINE###
5	1	46	0	0	0	74.88	277.00	22.92	10.25	100	Anglos
3	1	47	0	0	0	147.240005	277.003489	18.571179	10.247634	-1	###FLOW###
4	1	47	0	0	0	147.240005	277.003489	18.571179	10.247634	-1	###LINE###
5	1	47	0	0	0	147.24	277.00	18.57	10.25	100	Engel
3	1	48	0	0	0	222.480011	277.003489	18.571179	10.247634	-1	###FLOW###
