xml_path,validator_rule,action,element_tag,xml_id,field_tag,field_kind,before_sha256,after_sha256
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,1_S_359_W0,FORM,,bfb7fe7e29da285f853fdf8a2832007447466c1377c9d56a5b809a0e8bfcf008,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,2_S_1_v1_W5,FORM,,9e3270b1a7b0999c189bb999613de5b46c127690ff9be04291a3b589092f3936,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,2_S_1_v1_W7,FORM,,86b5cbaa049023bc87251615c6328e6a3368fb3a90bbd5cf868136e966889f37,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,2_S_1_v2_W5,FORM,,8b0b10ea49c27665db9fb090f76edeafc5ac5c6c366621be819a41d6d24801f8,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,2_S_1_v2_W7,FORM,,2e477cc734c8b50a9aa59aab49c1bf45d0393bc9e759974c4f2ae8efbfb2f712,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_1_v1_W0,FORM,,6c87d4d4dbcff470fbbc3091b931900a755e81b41fdb699d6a786d769ab8c31b,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_1_v1_W5,FORM,,be09c331bc3598f3154113fd588613d11a4aeff53fa6bdf6020b79847b8a4725,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_1_v1_W7,FORM,,8296492197670c7c8d4c3906f775f48d1f47f427d63a7a999381d62797305439,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_1_v2_W0,FORM,,c78890530596a287c3de4fe1ed3427cfff2475d39da58753a7dfd733e90bf0be,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_1_v2_W5,FORM,,aca7bbd9d11442c59f3c47fbce9d88274da16eec878f946d6509c2614b5feece,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_1_v2_W7,FORM,,41aefb8b41a348dfd166725a54d71e6c11eec0cbd06d24b7255f83ff828898b2,
