file,level,id,form_original,eng_gloss,zho_gloss,category
Stories/Rukai/Rukai_RukaiNr-pear_tagas.xml,W,RukaiNr-pear_tagas_S_10_W9,si,and,then,zh exists in a source duplicate (recoverable; not yet repaired)
Stories/Rukai/Rukai_RukaiNr-pear_tagas.xml,M,RukaiNr-pear_tagas_S_10_W9M1,si,and,then,zh exists in a source duplicate (recoverable; not yet repaired)
Stories/Rukai/Rukai_RukaiNr-ghost lake_Balenge.xml,M,RukaiNr-ghost lake_Balenge_S_8_W14M2,adraw,loud,big,english-only glossing in source (no zh available)
Stories/Sakizaya/Sakizaya_skzyNr-school_Panay.xml,W,skzyNr-school_Panay_S_17_W20,tabaki-ay,big-名物化,大-NMZ,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Bunun/Bunun_bnNr-frog_Samingaz.xml,M,bnNr-frog_Samingaz_S_18_W3M1,<la>,<RED>,<la>,echo gloss (source echo row; name/untranslated)
Stories/Bunun/Bunun_bnNr-frog_Talum.xml,M,bnNr-frog_Talum_S_25_W2M1,<ha>,<RED>,<ha>,echo gloss (source echo row; name/untranslated)
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,W,bnNr-pear_Laniahu_S_8_W1,ai,XXXX,xx,zh exists in a source duplicate (recoverable; not yet repaired)
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,M,bnNr-pear_Laniahu_S_8_W1M1,ai,XXXX,xx,zh exists in a source duplicate (recoverable; not yet repaired)
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,M,bnNr-pear_Laniahu_S_43_W9M1,<in>,<PFV>,<in>,echo gloss (source echo row; name/untranslated)
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,M,bnNr-pear_Laniahu_S_73_W0M2,<in>,<PFV>,<in>,echo gloss (source echo row; name/untranslated)
Stories/Bunun/Bunun_bnNr-lazy-daughter_Hanaivaz.xml,W,bnNr-lazy-daughter_Hanaivaz_S_106_W1,tupa-hang=dau,say-難怪=EVI,說-no.wonder=知識詞,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Bunun/Bunun_bnNr-frog_Ciang.xml,W,bnNr-frog_Ciang_S_42_W7,iza-u=s,REPAIR,repair,zh exists in a source duplicate (recoverable; not yet repaired)
Stories/Bunun/Bunun_bnNr-frog_Ciang.xml,M,bnNr-frog_Ciang_S_42_W7M1,iza,REPAIR,repair,english-only glossing in source (no zh available)
