rule_id,file,s_id,character,position
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/salengacay_a_isu’_nacudadan.xml,0,ˈ,1757
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/salengacay_a_isu’_nacudadan.xml,0,ˈ,1963
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,1931
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,1940
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,1952
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,1965
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,2395
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,2404
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,2416
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/katalawan_ku_liwliw_ni_Cyang-ni.xml,0,ˈ,2429
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/mukilim_tu_nidatengan_niyam_a_niyadu’.xml,0,ㄚ,665
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/mukilim_tu_nidatengan_niyam_a_niyadu’.xml,0,ㄜ,668
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/mukilim_tu_nidatengan_niyam_a_niyadu’.xml,0,ㄨ,674
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Joe_Biden.xml,0,ˈ,32
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Hose_Mocika_congtong.xml,0,ˈ,7326
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Hose_Mocika_congtong.xml,0,ˈ,7332
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Hose_Mocika_congtong.xml,0,ˈ,7341
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Hose_Mocika_congtong.xml,0,ˈ,7350
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Hose_Mocika_congtong.xml,0,ˈ,7369
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Barack_Obama.xml,0,ˈ,8301
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Barack_Obama.xml,0,ˈ,8310
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Barack_Obama.xml,0,ˈ,8318
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Afan_singsi.xml,0,ㄅ,2032
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Afan_singsi.xml,0,ㄆ,2033
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Afan_singsi.xml,0,ㄇ,2034
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Afan_singsi.xml,0,ㄈ,2035
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Obama.xml,0,ˈ,8301
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Obama.xml,0,ˈ,8310
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Obama.xml,0,ˈ,8318
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Taywan_Kristo_Ciwlo_kiwkay_’Amis_ciwkay_pipatenak_to_ratoh_a_likisi.xml,0,ㄅ,4448
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Taywan_Kristo_Ciwlo_kiwkay_’Amis_ciwkay_pipatenak_to_ratoh_a_likisi.xml,0,ㄆ,4449
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Taywan_Kristo_Ciwlo_kiwkay_’Amis_ciwkay_pipatenak_to_ratoh_a_likisi.xml,0,ㄇ,4450
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Taywan_Kristo_Ciwlo_kiwkay_’Amis_ciwkay_pipatenak_to_ratoh_a_likisi.xml,0,ㄈ,4451
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Cengo'_no_naniwac.xml,0,*,954
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/South_africa.xml,0,ˈ,110
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/South_africa.xml,0,ˈ,124
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/South_africa.xml,0,ˈ,253
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Cape_Town.xml,0,ˈ,79
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Facidol.xml,0,*,954
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Facidol.xml,0,*,1419
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Croatia.xml,0,*,2386
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Croatia.xml,0,*,2398
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Amis/Croatia.xml,0,*,2416
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/Kamala_Harris.xml,0,ˈ,32
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/Kamala_Harris.xml,0,ˈ,41
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/iliyad.xml,0,ˈ,98
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/JavaScript.xml,0,ˈ,164
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/Panama.xml,0,ˈ,59
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/Panama.xml,0,ˈ,75
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/barcelona_a_lizuk.xml,0,ˈ,44
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Paiwan/barcelona_a_lizuk.xml,0,ˈ,81
