record_id,pair,source_phrase_clean,target_phrase_clean,action,reference_status,reason,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_evidence,xml_record_id,xml_target_text,xml_translation_ver,source_url,raw_path
GLOSBE_DICT_e1a69b6b3077ead2,"ami,en",tamdaw,perfect,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,人,man; perfect; root,人,GLOSBE_DICT_GROUP_1e7c8e883ce09c63,perfect,alt,https://glosbe.com/ami/en/tamdaw,data/raw/html/static/ami_en/tamdaw.html
GLOSBE_DICT_cf0cbeda861f8642,"ami,en",tamdaw,root,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,人,man; perfect; root,人,GLOSBE_DICT_GROUP_1e7c8e883ce09c63,root,alt,https://glosbe.com/ami/en/tamdaw,data/raw/html/static/ami_en/tamdaw.html
GLOSBE_DICT_d358b553ab5806b3,"ami,en",tayra,go,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,去,go,,GLOSBE_DICT_GROUP_0955e3a5661ede55,go,primary,https://glosbe.com/ami/en/tayra,data/raw/html/static/ami_en/tayra.html
GLOSBE_DICT_666e7b9cd4c29542,"ami,en",tireng,body,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,身體,body,,GLOSBE_DICT_GROUP_dd01febdd435cf63,body,primary,https://glosbe.com/ami/en/tireng,data/raw/html/static/ami_en/tireng.html
GLOSBE_DICT_706e6ce65f33ec10,"ami,en",to,when,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,格位標記(受格或斜格),when,或; 格位標記,GLOSBE_DICT_GROUP_ba4a9a925f8963a0,when,primary,https://glosbe.com/ami/en/to,data/raw/html/static/ami_en/to.html
GLOSBE_DICT_8e0e3ae909a8bca6,"ami,en",wawa,child,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,孩子,child; children; kids; offspring,孩子,GLOSBE_DICT_GROUP_797af79a7da300ab,child,primary,https://glosbe.com/ami/en/wawa,data/raw/html/static/ami_en/wawa.html
GLOSBE_DICT_14f0bb5218961ba5,"ami,en",wawa,children,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,孩子,child; children; kids; offspring,孩子,GLOSBE_DICT_GROUP_797af79a7da300ab,children,alt,https://glosbe.com/ami/en/wawa,data/raw/html/static/ami_en/wawa.html
GLOSBE_DICT_889d70e600f0d138,"ami,en",wawa,kids,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,孩子,child; children; kids; offspring,孩子,GLOSBE_DICT_GROUP_797af79a7da300ab,kids,alt,https://glosbe.com/ami/en/wawa,data/raw/html/static/ami_en/wawa.html
GLOSBE_DICT_2c14fe01e2114da9,"ami,en",wawa,offspring,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,孩子,child; children; kids; offspring,孩子,GLOSBE_DICT_GROUP_797af79a7da300ab,offspring,alt,https://glosbe.com/ami/en/wawa,data/raw/html/static/ami_en/wawa.html
GLOSBE_DICT_dd95834dfc191fc6,"ami,en",wina,mother,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,mother,,GLOSBE_DICT_GROUP_53b092f037a42fa6,mother,primary,https://glosbe.com/ami/en/wina,data/raw/html/static/ami_en/wina.html
GLOSBE_DICT_432e47459a016f57,"tay,en",'bli,bury,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,bury,,GLOSBE_DICT_GROUP_b182b28d8232feca,bury,primary,https://glosbe.com/tay/en/%27bli,data/raw/html/static/tay_en/%27bli.html
GLOSBE_DICT_38246bfee5cd3bfc,"tay,en",'law,righthanded,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,righthanded,,GLOSBE_DICT_GROUP_8739ae0f9211519f,righthanded,primary,https://glosbe.com/tay/en/%27law,data/raw/html/static/tay_en/%27law.html
GLOSBE_DICT_10e941b2bd18c89a,"tay,en",'tuxan,spirit realm,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,靈界,spirit realm,靈界; 靈,GLOSBE_DICT_GROUP_8788ba94af3bbbff,spirit realm,primary,https://glosbe.com/tay/en/%27tuxan,data/raw/html/static/tay_en/%27tuxan.html
GLOSBE_DICT_861abebec266c4c1,"tay,en",'txan utux,land of the spirits,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,land of the spirits,,GLOSBE_DICT_GROUP_8b3852e7fcbf7fac,land of the spirits,primary,https://glosbe.com/tay/en/%27txan%20utux,data/raw/html/static/tay_en/%27txan%20utux.html
GLOSBE_DICT_0223684b70fd1b2a,"tay,en",Gipun,Japan,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,日本,Japan,,GLOSBE_DICT_GROUP_30cfe1f24959eca6,Japan,primary,https://glosbe.com/tay/en/Gipun,data/raw/html/static/tay_en/Gipun.html
GLOSBE_DICT_81d63ba81d1a9bf0,"tay,en",Mrhuw Wagiq,God,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,God,,GLOSBE_DICT_GROUP_2b9432fdcae96e54,God,primary,https://glosbe.com/tay/en/Mrhuw%20Wagiq,data/raw/html/static/tay_en/Mrhuw%20Wagiq.html
GLOSBE_DICT_fe06cf602d7e2663,"tay,en",aba,father,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,father,,GLOSBE_DICT_GROUP_07b97cfe2a70109f,father,primary,https://glosbe.com/tay/en/aba,data/raw/html/static/tay_en/aba.html
GLOSBE_DICT_39d2a88cf5aeae06,"tay,en",abau,leaf,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,leaf,,GLOSBE_DICT_GROUP_05f10d9015611776,leaf,primary,https://glosbe.com/tay/en/abau,data/raw/html/static/tay_en/abau.html
GLOSBE_DICT_5a0faba0b32fe66e,"tay,en",amuy,flour,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,女子名,flour; powder,女子名,GLOSBE_DICT_GROUP_358c7be7384c591c,flour,primary,https://glosbe.com/tay/en/amuy,data/raw/html/static/tay_en/amuy.html
